uid,boundary
b3db702cbfe1d7c33062127d,"113.91169203885481,22.518143022960107;113.91251803077097,22.51899001582406;113.91343897357949,22.518167978776848;113.91260399860825,22.517350026556862;113.91169203885481,22.518143022960107"
868385dd2b3b5f2f10293583,"113.92991937988388,22.55387971114846;113.9304728259084,22.553837048279433;113.93186872799244,22.554235171094053;113.93190145955029,22.553088966009476;113.931827652973,22.553059476446453;113.93008797026872,22.5530692796554;113.92993640906143,22.5531289484263;113.92991937988388,22.55387971114846"
a8c301840ff056a8b21e361b,"114.00933802741827,22.60065697569578;114.00916699004922,22.600493985069647;114.00916699004922,22.600406984363808;114.01025402954649,22.59934804034518;114.01026696514583,22.599256034028343;114.01013698033857,22.599139003238076;114.0096430021388,22.598722012455113;114.00854302704221,22.598270986979134;114.00880802716756,22.597737962527173;114.00885698481783,22.597692000540036;114.00964803264966,22.597991962702473;114.0103300261926,22.598317032185946;114.01107597908783,22.59879299857382;114.01184798284287,22.59966001053029;114.01196503205078,22.599780961345502;114.01179902519259,22.599964973207104;114.01164200138949,22.60017300807644;114.01155199117743,22.600357019407877;114.0113409792132,22.60067799596703;114.01129597410716,22.60074097334755;114.0113499622683,22.60091997909381;114.0114939606415,22.601098984604572;114.01240097971461,22.601658020801885;114.01274260529996,22.60157452419556;114.01281896126828,22.601374332323328;114.01322319874764,22.60117414015656;114.01447633493365,22.602725621744746;114.01444938576836,22.60284656983488;114.01437302980003,22.602896617288998;114.0126258255837,22.602604673547084;114.01214074060847,22.602446189539133;114.01201497783713,22.60238796747301;114.00933802741827,22.60065697569578"
33fbfa838e8db0c10bf5eb71,"113.95464703205565,22.529145007883766;113.95479103042885,22.52891499866912;113.95502000850327,22.528765025108225;113.95529003913948,22.528644011263438;113.95579704276915,22.528552040669677;113.95634896167428,22.528518991330472;113.95654703803918,22.528626985858736;113.95654703803918,22.529515976210774;113.9557520376631,22.529495028419834;113.95574700715225,22.529953959565802;113.9546289761149,22.529916988083073;113.95460696762991,22.529608029612554;113.95464703205565,22.529145007883766"
22e114075a9f30b4d5b74e73,"113.95425599966728,22.54968403595073;113.95460202694962,22.54982998117049;113.955617022345,22.54983398652595;113.95563498845519,22.548987018119217;113.95430998782841,22.548983012738894;113.95425599966728,22.54968403595073"
7371416e012a60af83a00c39,"113.95663472523319,22.53825176445038;113.95953628077524,22.538285716303168;113.9612474575508,22.538339683177355;113.96140685557535,22.538296282823904;113.96146928331675,22.538174468026362;113.9613303801324,22.537769508915527;113.96124733717787,22.537267660014443;113.96121698882452,22.536950476799674;113.96109725547974,22.534980983832483;113.96109732195436,22.53397619754823;113.96103359166997,22.533018630499253;113.9609889063607,22.53297968028882;113.96089314070524,22.532965703793582;113.95903820091252,22.53289939284728;113.95897433228909,22.532940295682767;113.95895516963594,22.532971286613822;113.95894558202124,22.533026380982257;113.95890715969799,22.533899544642015;113.95889749662561,22.535461023509534;113.95666189627995,22.535416378279606;113.95663472523319,22.53825176445038"
6c50739d9ed81b8525e0a02e,"113.94427025596056,22.585688717384443;113.94674957916729,22.585755455731555;113.94677652833258,22.584262177393107;113.94431517123606,22.58421212308694;113.94427025596056,22.585688717384443"
d0b8923f6b59afe2b5f42f4b,"113.93925492646946,22.519383546886534;113.93996907934965,22.519387720062454;113.93996907934965,22.519675668893363;113.9404451812698,22.519588032356907;113.9405484864034,22.519400239589466;113.94075958819818,22.519350161474552;113.94072814750534,22.51849048430608;113.93925043494191,22.518477964695705;113.93924594341436,22.51903717284042;113.93924594341436,22.519325122410205;113.93925492646946,22.519383546886534"
868385dd2b3b5f2f10293583,"113.92991937988388,22.55387971114846;113.9304728259084,22.553837048279433;113.93186872799244,22.554235171094053;113.93190145955029,22.553088966009476;113.931827652973,22.553059476446453;113.93008797026872,22.5530692796554;113.92993640906143,22.5531289484263;113.92991937988388,22.55387971114846"
6ad023d57c93bc3ad12dd6c9,"113.93348115763654,22.59229415352179;113.9341369206586,22.592093947997814;113.93406954774538,22.591885400263887;113.93403810705253,22.591864545472923;113.93336886944782,22.592089777046265;113.93342725930596,22.592277469739372;113.93348115763654,22.59229415352179"
