城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
上海,1,1号线,地铁1号线(莘庄--富锦路),3,6,36.80946,莘庄,富锦路,地铁,[],[]
上海,2,1号线,地铁1号线(富锦路--莘庄),3,6,36.80946,富锦路,莘庄,地铁,[],[]
上海,1,2号线,地铁2号线(夜班)(虹桥火车站--龙阳路),3,6,28.18765,虹桥火车站,龙阳路,地铁,[],[]
上海,2,2号线,地铁2号线(徐泾东--浦东国际机场),3,9,60.38004,徐泾东,浦东国际机场,地铁,[],[]
上海,1,3号线,地铁3号线(上海南站--江杨北路),3,6,40.11037,上海南站,江杨北路,地铁,0520,2235
上海,2,3号线,地铁3号线(江杨北路--上海南站),3,6,40.11037,江杨北路,上海南站,地铁,0520,2240
上海,1,4号线(,地铁4号线内圈(宜山路--宜山路),3,4,33.90473,宜山路,宜山路,地铁,[],[]
上海,2,4号线(,地铁4号线外圈(宜山路--宜山路),3,4,33.90473,宜山路,宜山路,地铁,[],[]
上海,1,4号线(,地铁4号线外圈(宜山路--宜山路),3,4,33.90473,宜山路,宜山路,地铁,[],[]
上海,2,4号线(,地铁4号线内圈(宜山路--宜山路),3,4,33.90473,宜山路,宜山路,地铁,[],[]
上海,1,5号线(,地铁5号线(奉贤新城--莘庄),3,6,27.40105,奉贤新城,莘庄,地铁,0528,2200
上海,2,5号线(,地铁5号线(莘庄--奉贤新城),3,6,27.40105,莘庄,奉贤新城,地铁,0550,2240
上海,1,5号线(,地铁5号线(奉贤新城--莘庄),3,6,27.40105,奉贤新城,莘庄,地铁,0528,2200
上海,2,5号线(,地铁5号线(莘庄--奉贤新城),3,6,27.40105,莘庄,奉贤新城,地铁,0550,2240
上海,1,6号线,地铁6号线(港城路--东方体育中心),3,6,32.57016,港城路,东方体育中心,地铁,0530,2230
上海,2,6号线,地铁6号线(东方体育中心--港城路),3,6,32.57016,东方体育中心,港城路,地铁,0530,2230
上海,1,7号线,地铁7号线(美兰湖--花木路),3,7,43.44737,美兰湖,花木路,地铁,0530,2215
上海,2,7号线,地铁7号线(花木路--美兰湖),3,7,43.44737,花木路,美兰湖,地铁,0530,2230
上海,1,8号线,地铁8号线(沈杜公路--市光路),3,6,37.20781,沈杜公路,市光路,地铁,0530,2230
上海,2,8号线,地铁8号线(市光路--沈杜公路),3,6,37.20781,市光路,沈杜公路,地铁,0530,2230
上海,1,9号线,地铁9号线(曹路--松江南站),3,9,63.75737,曹路,松江南站,地铁,[],[]
上海,2,9号线,地铁9号线(松江南站--曹路),3,9,63.75737,松江南站,曹路,地铁,[],[]
上海,1,10号线,地铁10号线(夜班)(虹桥火车站--五角场),3,5,27.10249,虹桥火车站,五角场,地铁,[],[]
上海,2,10号线,地铁10号线(基隆路--虹桥火车站),3,7,40.83862,基隆路,虹桥火车站,地铁,0525,2230
上海,1,10号线,地铁10号线(夜班)(虹桥火车站--五角场),3,5,27.10249,虹桥火车站,五角场,地铁,[],[]
上海,2,10号线,地铁10号线(基隆路--虹桥火车站),3,7,40.83862,基隆路,虹桥火车站,地铁,0525,2230
上海,1,11号线,地铁11号线(迪士尼--嘉定北),3,9,62.44330,迪士尼,嘉定北,地铁,[],[]
上海,2,11号线,地铁11号线(嘉定北--迪士尼),3,9,62.44330,嘉定北,迪士尼,地铁,[],[]
上海,1,11号线,地铁11号线(迪士尼--嘉定北),3,9,62.44330,迪士尼,嘉定北,地铁,[],[]
上海,2,11号线,地铁11号线(嘉定北--迪士尼),3,9,62.44330,嘉定北,迪士尼,地铁,[],[]
上海,1,12号线,地铁12号线(七莘路--金海路),3,6,39.55288,七莘路,金海路,地铁,[],[]
上海,2,12号线,地铁12号线(金海路--七莘路),3,6,39.55338,金海路,七莘路,地铁,[],[]
上海,1,13号线,地铁13号线(金运路--张江路),3,6,37.97578,金运路,张江路,地铁,[],[]
上海,2,13号线,地铁13号线(张江路--金运路),3,6,37.97570,张江路,金运路,地铁,[],[]
上海,1,15号线,地铁15号线(紫竹高新区--顾村公园),3,7,41.91776,紫竹高新区,顾村公园,地铁,[],[]
上海,2,15号线,地铁15号线(顾村公园--紫竹高新区),3,7,41.91776,顾村公园,紫竹高新区,地铁,[],[]
上海,1,16号线,地铁16号线大站车(滴水湖--龙阳路),4,9,58.63399,滴水湖,龙阳路,地铁,[],[]
上海,2,16号线,地铁16号线大站车(龙阳路--滴水湖),4,9,58.63399,龙阳路,滴水湖,地铁,[],[]
上海,1,17号线,地铁17号线(虹桥火车站--东方绿舟),3,6,34.58453,虹桥火车站,东方绿舟,地铁,0600,2300
上海,2,17号线,地铁17号线(东方绿舟--虹桥火车站),3,6,34.58453,东方绿舟,虹桥火车站,地铁,0540,2230
上海,1,18号线,地铁18号线(航头--御桥),3,4,14.57647,航头,御桥,地铁,0600,2200
上海,2,18号线,地铁18号线(御桥--航头),3,4,14.57647,御桥,航头,地铁,0615,2200
上海,1,磁悬浮,磁悬浮(浦东国际机场--龙阳路),50,50,29.13118,浦东国际机场,龙阳路,磁悬浮列车,0702,2142
上海,2,磁悬浮,磁悬浮(龙阳路--浦东国际机场),50,50,29.13118,龙阳路,浦东国际机场,磁悬浮列车,[],[]
上海,1,浦江线,轨道交通浦江线(沈杜公路--汇臻路),3,4,6.28607,沈杜公路,汇臻路,地铁,[],[]
上海,2,浦江线,轨道交通浦江线(汇臻路--沈杜公路),3,4,6.28607,汇臻路,沈杜公路,地铁,[],[]
