城市,序号,全称,简称,lng,lat
乌鲁木齐,1,轨道交通1号线(三屯碑--国际机场),1号线,87.60790755152891,43.76021154054553
乌鲁木齐,2,轨道交通1号线(三屯碑--国际机场),1号线,87.608420138786,43.76104968250725
乌鲁木齐,3,轨道交通1号线(三屯碑--国际机场),1号线,87.6085979936447,43.76131371548882
乌鲁木齐,4,轨道交通1号线(三屯碑--国际机场),1号线,87.6088407881474,43.761765806423334
乌鲁木齐,5,轨道交通1号线(三屯碑--国际机场),1号线,87.60908157847611,43.76226892308636
乌鲁木齐,6,轨道交通1号线(三屯碑--国际机场),1号线,87.60937831751589,43.76285604680382
乌鲁木齐,7,轨道交通1号线(三屯碑--国际机场),1号线,87.60968704135591,43.76346116916099
乌鲁木齐,8,轨道交通1号线(三屯碑--国际机场),1号线,87.60992082919059,43.76391325631226
乌鲁木齐,9,轨道交通1号线(三屯碑--国际机场),1号线,87.61017159744485,43.76441735766748
乌鲁木齐,10,轨道交通1号线(三屯碑--国际机场),1号线,87.61039738635208,43.76486344291604
乌鲁木齐,11,轨道交通1号线(三屯碑--国际机场),1号线,87.61068311434877,43.765448559021294
乌鲁木齐,12,轨道交通1号线(三屯碑--国际机场),1号线,87.61080798793456,43.76582667320842
乌鲁木齐,13,轨道交通1号线(三屯碑--国际机场),1号线,87.61086091486474,43.766366921380026
乌鲁木齐,14,轨道交通1号线(三屯碑--国际机场),1号线,87.61088488408365,43.766565009300024
乌鲁木齐,15,轨道交通1号线(三屯碑--国际机场),1号线,87.61092783183327,43.76686113589078
乌鲁木齐,16,轨道交通1号线(三屯碑--国际机场),1号线,87.61096279186185,43.767050211555386
乌鲁木齐,17,轨道交通1号线(三屯碑--国际机场),1号线,87.61121850588465,43.768268677659286
乌鲁木齐,18,轨道交通1号线(三屯碑--国际机场),1号线,87.61145123775788,43.76947415189821
乌鲁木齐,19,轨道交通1号线(三屯碑--国际机场),1号线,87.61222439089607,43.772215049184204
乌鲁木齐,20,轨道交通1号线(三屯碑--国际机场),1号线,87.61250809779496,43.77272010784902
乌鲁木齐,21,轨道交通1号线(三屯碑--国际机场),1号线,87.6128916863707,43.773572272812004
乌鲁木齐,22,轨道交通1号线(三屯碑--国际机场),1号线,87.61307646791707,43.77432953543478
乌鲁木齐,23,轨道交通1号线(三屯碑--国际机场),1号线,87.61311640938902,43.774711708707315
乌鲁木齐,24,轨道交通1号线(三屯碑--国际机场),1号线,87.61319130156988,43.775386011186086
乌鲁木齐,25,轨道交通1号线(三屯碑--国际机场),1号线,87.61381755306374,43.77778580560646
乌鲁木齐,26,轨道交通1号线(三屯碑--国际机场),1号线,87.61403128918897,43.778681115481575
乌鲁木齐,27,轨道交通1号线(三屯碑--国际机场),1号线,87.61425101699258,43.77957241731879
乌鲁木齐,28,轨道交通1号线(三屯碑--国际机场),1号线,87.61430695141698,43.77971845045378
乌鲁木齐,29,轨道交通1号线(三屯碑--国际机场),1号线,87.61434990136907,43.77982247146281
乌鲁木齐,30,轨道交通1号线(三屯碑--国际机场),1号线,87.61439684760855,43.77991548321993
乌鲁木齐,31,轨道交通1号线(三屯碑--国际机场),1号线,87.61443979848332,43.77999749224845
乌鲁木齐,32,轨道交通1号线(三屯碑--国际机场),1号线,87.61449473632,43.78008649514502
乌鲁木齐,33,轨道交通1号线(三屯碑--国际机场),1号线,87.61461660034874,43.78023547509322
乌鲁木齐,34,轨道交通1号线(三屯碑--国际机场),1号线,87.61475344846775,43.78036943397373
