城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
佛山,1,2号线,地铁2号线一期(广州南站--南庄),[],[],32.18073,广州南站,南庄,地铁,[],[]
佛山,2,2号线,地铁2号线一期(南庄--广州南站),[],[],32.18073,南庄,广州南站,地铁,[],[]
佛山,1,3号线,地铁3号线(科技学院--顺德客运港),[],[],68.88664,科技学院,顺德客运港,地铁,[],[]
佛山,2,3号线,地铁3号线(顺德客运港--科技学院),[],[],68.88664,顺德客运港,科技学院,地铁,[],[]
佛山,1,4号线,地铁4号线一期(港口路--北江大道),[],[],54.73062,港口路,北江大道,地铁,[],[]
佛山,2,4号线,地铁4号线一期(北江大道--港口路),[],[],54.73029,北江大道,港口路,地铁,[],[]
佛山,1,5号线,旅游城巴5线(岭南酒文化博物馆--广佛路东),[],6,31.06716,岭南酒文化博物馆,广佛路东,旅游专线,0530,1750
佛山,2,5号线,旅游城巴5线(广佛路东--岭南酒文化博物馆),[],6,29.48834,广佛路东,岭南酒文化博物馆,旅游专线,0625,1930
佛山,1,6号线,佛K6路快线(岭南大道公交枢纽站--广州南站总站),6,6,21.96931,岭南大道公交枢纽站,广州南站总站,普通公交,[],[]
佛山,2,6号线,佛K6路快线(广州南站总站--岭南大道公交枢纽站),6,6,22.24212,广州南站总站,岭南大道公交枢纽站,普通公交,[],[]
佛山,1,7号线,地铁7号线西延顺德段(美的大道--广州南站),[],[],13.94111,美的大道,广州南站,地铁,[],[]
佛山,2,7号线,地铁7号线西延顺德段(广州南站--美的大道),[],[],13.94111,广州南站,美的大道,地铁,[],[]
佛山,1,8号线,中山508路/顺德390路(均安行政服务中心--小榄车站),4,4,17.69331,均安行政服务中心,小榄车站,普通公交,0630,1845
佛山,2,8号线,中山508路/顺德390路(小榄车站--均安交通中心),2,4,17.71340,小榄车站,均安交通中心,普通公交,0640,1900
佛山,1,南海有轨,南海有轨电车1号线(三山新城北--礌岗),2,4,9.56330,三山新城北,礌岗,有轨电车,0630,2200
佛山,2,南海有轨,南海有轨电车1号线(礌岗--三山新城北),2,4,9.59071,礌岗,三山新城北,有轨电车,0630,2230
