城市,序号,全称,简称,lng,lat
兰州,1,轨道交通1号线(陈官营--东岗),1号线,103.65994906576123,36.08727127774921
兰州,2,轨道交通1号线(陈官营--东岗),1号线,103.66068712456745,36.08710291999371
兰州,3,轨道交通1号线(陈官营--东岗),1号线,103.6628683688862,36.08651990440287
兰州,4,轨道交通1号线(陈官营--东岗),1号线,103.66386871983988,36.086251054191386
兰州,5,轨道交通1号线(陈官营--东岗),1号线,103.66421180929943,36.08617641480097
兰州,6,轨道交通1号线(陈官营--东岗),1号线,103.66453195741154,36.086141810236505
兰州,7,轨道交通1号线(陈官营--东岗),1号线,103.66477032240407,36.086125357857874
兰州,8,轨道交通1号线(陈官营--东岗),1号线,103.66499472348582,36.08612792793019
兰州,9,轨道交通1号线(陈官营--东岗),1号线,103.66523508103374,36.086145464076054
兰州,10,轨道交通1号线(陈官营--东岗),1号线,103.66546845556549,36.08619200720998
兰州,11,轨道交通1号线(陈官营--东岗),1号线,103.66569085811813,36.08626056649376
兰州,12,轨道交通1号线(陈官营--东岗),1号线,103.66624137499385,36.086502459543816
兰州,13,轨道交通1号线(陈官营--东岗),1号线,103.66985762011014,36.08814316364396
兰州,14,轨道交通1号线(陈官营--东岗),1号线,103.67253540350434,36.0893777571197
兰州,15,轨道交通1号线(陈官营--东岗),1号线,103.67457193172723,36.09033165279023
兰州,16,轨道交通1号线(陈官营--东岗),1号线,103.67565901976876,36.090850466224786
兰州,17,轨道交通1号线(陈官营--东岗),1号线,103.67675908147153,36.091372260084825
兰州,18,轨道交通1号线(陈官营--东岗),1号线,103.67890138753454,36.09239598288344
兰州,19,轨道交通1号线(陈官营--东岗),1号线,103.68351529288151,36.09457390130146
兰州,20,轨道交通1号线(陈官营--东岗),1号线,103.69026916234563,36.0977190536213
兰州,21,轨道交通1号线(陈官营--东岗),1号线,103.69356113159819,36.099244040183095
兰州,22,轨道交通1号线(陈官营--东岗),1号线,103.69425347373523,36.09955980062766
兰州,23,轨道交通1号线(陈官营--东岗),1号线,103.69449190655199,36.09964638054221
兰州,24,轨道交通1号线(陈官营--东岗),1号线,103.69464055426948,36.09968812180837
兰州,25,轨道交通1号线(陈官营--东岗),1号线,103.69478720772186,36.09971986897715
