城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
北京,1,1号线,地铁1号线(四惠东--古城),3,6,27.78678,四惠东,古城,地铁,[],[]
北京,2,1号线,地铁1号线(古城--四惠东),3,6,27.78678,古城,四惠东,地铁,[],[]
北京,1,2号线外,地铁2号线外环(西直门--西直门),3,4,23.24082,西直门,西直门,地铁,[],[]
北京,1,2号线内,地铁2号线内环(积水潭--积水潭),3,4,23.24082,积水潭,积水潭,地铁,[],[]
北京,1,4号线,地铁4号线大兴线(天宫院--安河桥北),3,7,49.58874,天宫院,安河桥北,地铁,[],[]
北京,2,4号线,地铁4号线大兴线(安河桥北--天宫院),3,7,49.58874,安河桥北,天宫院,地铁,[],[]
北京,1,5号线,地铁5号线(天通苑北--宋家庄),3,6,27.18417,天通苑北,宋家庄,地铁,[],[]
北京,2,5号线,地铁5号线(宋家庄--天通苑北),3,6,27.18417,宋家庄,天通苑北,地铁,[],[]
北京,1,6号线,地铁6号线(金安桥--潞城),3,8,52.95560,金安桥,潞城,地铁,[],[]
北京,2,6号线,地铁6号线(潞城--金安桥),3,8,52.95571,潞城,金安桥,地铁,[],[]
北京,1,7号线,地铁7号线(环球度假区--北京西站),3,6,39.44091,环球度假区,北京西站,地铁,0512,2232
北京,2,7号线,地铁7号线(北京西站--环球度假区),3,6,39.44091,北京西站,环球度假区,地铁,0529,2314
北京,1,8号线北,地铁8号线(朱辛庄--中国美术馆),3,6,27.91617,朱辛庄,中国美术馆,地铁,0510,2205
北京,2,8号线北,地铁8号线(中国美术馆--朱辛庄),3,6,27.91633,中国美术馆,朱辛庄,地铁,0527,2305
北京,1,8号线南,地铁8号线南段(珠市口--瀛海),3,5,16.57262,珠市口,瀛海,地铁,0550,2335
北京,2,8号线南,地铁8号线南段(瀛海--珠市口),3,5,16.57262,瀛海,珠市口,地铁,0515,2300
北京,1,9号线,地铁9号线(国家图书馆--郭公庄),3,5,15.65706,国家图书馆,郭公庄,地铁,[],[]
北京,2,9号线,地铁9号线(郭公庄--国家图书馆),3,5,15.65706,郭公庄,国家图书馆,地铁,[],[]
北京,1,10号线,地铁10号线内环(巴沟--巴沟),3,6,56.44199,巴沟,巴沟,地铁,[],[]
北京,1,10号线,地铁10号线外环(车道沟--车道沟),3,6,56.44199,车道沟,车道沟,地铁,[],[]
北京,1,13号线,地铁13号线(西直门--东直门),3,6,40.39905,西直门,东直门,地铁,[],[]
北京,2,13号线,地铁13号线(东直门--西直门),3,6,40.39905,东直门,西直门,地铁,0534,2249
北京,1,14号线,地铁14号线东段(北京南站--善各庄),3,6,28.44474,北京南站,善各庄,地铁,[],[]
北京,2,14号线,地铁14号线东段(善各庄--北京南站),3,6,28.44473,善各庄,北京南站,地铁,[],[]
北京,1,14号线,地铁14号线西段(张郭庄--西局),3,4,11.11528,张郭庄,西局,地铁,[],[]
北京,2,14号线,地铁14号线西段(西局--张郭庄),3,4,11.11528,西局,张郭庄,地铁,[],[]
北京,1,15号线,地铁15号线(俸伯--清华东路西口),3,7,40.18276,俸伯,清华东路西口,地铁,[],[]
北京,2,15号线,地铁15号线(清华东路西口--俸伯),3,7,40.18273,清华东路西口,俸伯,地铁,[],[]
北京,1,16号线,地铁16号线(甘家口--北安河),3,6,30.09829,甘家口,北安河,地铁,0540,2245
北京,2,16号线,地铁16号线(北安河--甘家口),3,6,30.09829,北安河,甘家口,地铁,0515,2230
北京,1,八通线,地铁八通线(环球度假区--四惠),3,5,22.04947,环球度假区,四惠,地铁,0516,2256
北京,2,八通线,地铁八通线(四惠--环球度假区),3,5,22.04947,四惠,环球度假区,地铁,[],[]
北京,1,昌平线,地铁昌平线(西二旗--昌平西山口),3,6,31.81662,西二旗,昌平西山口,地铁,[],[]
北京,2,昌平线,地铁昌平线(昌平西山口--西二旗),3,6,31.81663,昌平西山口,西二旗,地铁,[],[]
北京,1,大兴机场,北京大兴国际机场线(草桥--大兴机场),10,35,38.04834,草桥,大兴机场,地铁,[],[]
北京,2,大兴机场,北京大兴国际机场线(大兴机场--草桥),10,35,38.04834,大兴机场,草桥,地铁,0600,2300
北京,1,房山线,地铁房山线(阎村东--东管头南),3,6,31.29198,阎村东,东管头南,地铁,[],[]
北京,2,房山线,地铁房山线(东管头南--阎村东),3,6,31.29198,东管头南,阎村东,地铁,[],[]
北京,1,首都机场,首都机场线(北新桥--东直门),[],[],1.59830,北新桥,东直门,地铁,[],[]
北京,2,首都机场,首都机场线(东直门--北新桥),[],[],1.59830,东直门,北新桥,地铁,[],[]
北京,1,西郊线,西郊线(香山--巴沟),3,4,8.75710,香山,巴沟,地铁,[],[]
北京,2,西郊线,西郊线(巴沟--香山),3,4,8.75710,巴沟,香山,地铁,[],[]
北京,1,燕房线,地铁燕房线(阎村东--燕山),3,5,13.26655,阎村东,燕山,地铁,0505,2230
北京,2,燕房线,地铁燕房线(燕山--阎村东),3,5,13.26655,燕山,阎村东,地铁,0530,2255
北京,1,亦庄线,地铁亦庄线(宋家庄--亦庄火车站),3,6,22.80492,宋家庄,亦庄火车站,地铁,0600,2320
北京,2,亦庄线,地铁亦庄线(亦庄火车站--宋家庄),3,6,22.80492,亦庄火车站,宋家庄,地铁,0520,2240
北京,1,亦庄T1,亦庄T1线(屈庄--定海园),3,4,11.88204,屈庄,定海园,有轨电车,0600,2200
北京,2,亦庄T1,亦庄T1线(定海园--屈庄(奔驰南)),3,4,11.88204,定海园,屈庄(奔驰南),有轨电车,0600,2200
