城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
南京,1,1号线,地铁1号线(迈皋桥--中国药科大学),2,7,37.59132,迈皋桥,中国药科大学,地铁,[],[]
南京,2,1号线,地铁1号线(中国药科大学--迈皋桥),2,7,37.59128,中国药科大学,迈皋桥,地铁,[],[]
南京,1,2号线,地铁2号线(经天路--油坊桥),2,7,37.15246,经天路,油坊桥,地铁,0600,2300
南京,2,2号线,地铁2号线(油坊桥--经天路),2,7,37.15246,油坊桥,经天路,地铁,0600,2300
南京,1,3号线,地铁3号线(林场--秣周东路),2,8,43.94876,林场,秣周东路,地铁,0550,2300
南京,2,3号线,地铁3号线(秣周东路--林场),2,8,43.94877,秣周东路,林场,地铁,0600,2310
南京,1,4号线,地铁4号线(仙林湖--龙江),2,7,32.66427,仙林湖,龙江,地铁,0600,2300
南京,2,4号线,地铁4号线(龙江--仙林湖),2,7,32.66427,龙江,仙林湖,地铁,0600,2300
南京,1,10号线,地铁10号线(雨山路--安德门),2,6,21.23016,雨山路,安德门,地铁,[],[]
南京,2,10号线,地铁10号线(安德门--雨山路),2,6,21.23016,安德门,雨山路,地铁,[],[]
南京,1,S1号线,地铁S1号线(机场线)(空港新城江宁--南京南站),2,7,33.42955,空港新城江宁,南京南站,地铁,0557,2240
南京,2,S1号线,地铁S1号线(机场线)(南京南站--空港新城江宁),2,7,33.42955,南京南站,空港新城江宁,地铁,0600,2240
南京,1,S3号线,地铁S3号线(宁和线)(南京南站--高家冲),2,7,35.49704,南京南站,高家冲,地铁,[],[]
南京,2,S3号线,地铁S3号线(宁和线)(高家冲--南京南站),2,7,35.49693,高家冲,南京南站,地铁,[],[]
南京,1,S7号线,地铁S7号线(宁溧线)(无想山--空港新城江宁),2,6,28.20669,无想山,空港新城江宁,地铁,0600,2200
南京,2,S7号线,地铁S7号线(宁溧线)(空港新城江宁--无想山),2,6,28.20669,空港新城江宁,无想山,地铁,0600,2200
南京,1,S8号线,地铁S8号线(宁天线)(泰山新村--金牛湖),2,8,44.48067,泰山新村,金牛湖,地铁,0600,2230
南京,2,S8号线,地铁S8号线(宁天线)(金牛湖--泰山新村),2,8,44.48067,金牛湖,泰山新村,地铁,0600,2200
南京,1,S9号线,地铁S9号线(宁高线)(翔宇路南--高淳),2,9,51.92752,翔宇路南,高淳,地铁,0600,2200
南京,2,S9号线,地铁S9号线(宁高线)(高淳--翔宇路南),2,9,51.92752,高淳,翔宇路南,地铁,0600,2200
