城市,序号,全称,简称,lng,lat
合肥,1,轨道交通1号线(合肥火车站--九联圩),1号线,117.30999259510229,31.885325161954572
合肥,2,轨道交通1号线(合肥火车站--九联圩),1号线,117.30974624003409,31.8850195546776
合肥,3,轨道交通1号线(合肥火车站--九联圩),1号线,117.30929840327754,31.884543283899262
合肥,4,轨道交通1号线(合肥火车站--九联圩),1号线,117.30391826196978,31.878016703373305
合肥,5,轨道交通1号线(合肥火车站--九联圩),1号线,117.30377063583623,31.87784493088429
合肥,6,轨道交通1号线(合肥火车站--九联圩),1号线,117.30355418441121,31.87758226166504
合肥,7,轨道交通1号线(合肥火车站--九联圩),1号线,117.29945144499672,31.872474373874198
合肥,8,轨道交通1号线(合肥火车站--九联圩),1号线,117.30288288284204,31.876748279355347
合肥,9,轨道交通1号线(合肥火车站--九联圩),1号线,117.30334571203547,31.87732957970164
合肥,10,轨道交通1号线(合肥火车站--九联圩),1号线,117.29902150214687,31.871942999760847
合肥,11,轨道交通1号线(合肥火车站--九联圩),1号线,117.2985197302167,31.871334728681653
合肥,12,轨道交通1号线(合肥火车站--九联圩),1号线,117.29616642053172,31.868489089078874
合肥,13,轨道交通1号线(合肥火车站--九联圩),1号线,117.29592399809118,31.868216433624003
合肥,14,轨道交通1号线(合肥火车站--九联圩),1号线,117.29569653834214,31.86796575693106
合肥,15,轨道交通1号线(合肥火车站--九联圩),1号线,117.29554290302215,31.86779197382721
合肥,16,轨道交通1号线(合肥火车站--九联圩),1号线,117.29542518470272,31.867631134054168
合肥,17,轨道交通1号线(合肥火车站--九联圩),1号线,117.29533839767215,31.867454240106223
合肥,18,轨道交通1号线(合肥火车站--九联圩),1号线,117.29527256577998,31.867249306024384
合肥,19,轨道交通1号线(合肥火车站--九联圩),1号线,117.29522968461261,31.86701632863651
合肥,20,轨道交通1号线(合肥火车站--九联圩),1号线,117.2952047653105,31.866757316575335
合肥,21,轨道交通1号线(合肥火车站--九联圩),1号线,117.29520384559582,31.86592814926734
合肥,22,轨道交通1号线(合肥火车站--九联圩),1号线,117.29520491252612,31.86519299812341
合肥,23,轨道交通1号线(合肥火车站--九联圩),1号线,117.29521792804621,31.86471688022551
合肥,24,轨道交通1号线(合肥火车站--九联圩),1号线,117.29524391530714,31.864229738987476
合肥,25,轨道交通1号线(合肥火车站--九联圩),1号线,117.29528786800441,31.863678555498645
合肥,26,轨道交通1号线(合肥火车站--九联圩),1号线,117.29536974680548,31.863001284539795
合肥,27,轨道交通1号线(合肥火车站--九联圩),1号线,117.29548954143397,31.862304947644915
合肥,28,轨道交通1号线(合肥火车站--九联圩),1号线,117.29572509870388,31.86133836601639
合肥,29,轨道交通1号线(合肥火车站--九联圩),1号线,117.29590175188224,31.860761959230345
合肥,30,轨道交通1号线(合肥火车站--九联圩),1号线,117.29602651286991,31.86028765817447
合肥,31,轨道交通1号线(合肥火车站--九联圩),1号线,117.29609938463184,31.85988845774334
合肥,32,轨道交通1号线(合肥火车站--九联圩),1号线,117.29612136777666,31.8595363508522
合肥,33,轨道交通1号线(合肥火车站--九联圩),1号线,117.29610144155258,31.859235323504045
合肥,34,轨道交通1号线(合肥火车站--九联圩),1号线,117.2960535764665,31.858960347550827
合肥,35,轨道交通1号线(合肥火车站--九联圩),1号线,117.29597278547085,31.858693427533773
合肥,36,轨道交通1号线(合肥火车站--九联圩),1号线,117.29580221562561,31.858242618595515
合肥,37,轨道交通1号线(合肥火车站--九联圩),1号线,117.29560770373901,31.857745839345853
合肥,38,轨道交通1号线(合肥火车站--九联圩),1号线,117.29546706901507,31.857249971327434
合肥,39,轨道交通1号线(合肥火车站--九联圩),1号线,117.29538229954082,31.856839028450796
合肥,40,轨道交通1号线(合肥火车站--九联圩),1号线,117.29525867228102,31.855849034075035
合肥,41,轨道交通1号线(合肥火车站--九联圩),1号线,117.29518494236896,31.854749936779182
合肥,42,轨道交通1号线(合肥火车站--九联圩),1号线,117.29509928946766,31.853117754323513
合肥,43,轨道交通1号线(合肥火车站--九联圩),1号线,117.29503449990305,31.85243472555401
合肥,44,轨道交通1号线(合肥火车站--九联圩),1号线,117.29500260316034,31.852101712086753
合肥,45,轨道交通1号线(合肥火车站--九联圩),1号线,117.29499765249584,31.851696640584972
合肥,46,轨道交通1号线(合肥火车站--九联圩),1号线,117.29510555573816,31.85014316018042
合肥,47,轨道交通1号线(合肥火车站--九联圩),1号线,117.29514552480353,31.84951497219558
合肥,48,轨道交通1号线(合肥火车站--九联圩),1号线,117.29515453756352,31.84916388897928
合肥,49,轨道交通1号线(合肥火车站--九联圩),1号线,117.29515656570173,31.848816818018392
合肥,50,轨道交通1号线(合肥火车站--九联圩),1号线,117.29519055932974,31.848070617252223
合肥,51,轨道交通1号线(合肥火车站--九联圩),1号线,117.29522756865396,31.847085365464608
合肥,52,轨道交通1号线(合肥火车站--九联圩),1号线,117.2954814181375,31.84259408444484
合肥,53,轨道交通1号线(合肥火车站--九联圩),1号线,117.29571227412669,31.83857193982463
合肥,54,轨道交通1号线(合肥火车站--九联圩),1号线,117.29605571877909,31.836184923857825
合肥,55,轨道交通1号线(合肥火车站--九联圩),1号线,117.29617961115413,31.83433337235042
合肥,56,轨道交通1号线(合肥火车站--九联圩),1号线,117.29618262455246,31.834118327222427
合肥,57,轨道交通1号线(合肥火车站--九联圩),1号线,117.29618463881306,31.833918286572054
合肥,58,轨道交通1号线(合肥火车站--九联圩),1号线,117.29613896318855,31.831579927603624
合肥,59,轨道交通1号线(合肥火车站--九联圩),1号线,117.29627300604105,31.827883025547003
合肥,60,轨道交通1号线(合肥火车站--九联圩),1号线,117.29639988017271,31.826146498618378
合肥,61,轨道交通1号线(合肥火车站--九联圩),1号线,117.29643289976453,31.825138260818658
合肥,62,轨道交通1号线(合肥火车站--九联圩),1号线,117.29643991230073,31.824835194288532
合肥,63,轨道交通1号线(合肥火车站--九联圩),1号线,117.2964649060051,31.824296055300152
合肥,64,轨道交通1号线(合肥火车站--九联圩),1号线,117.29668776033493,31.820432991545776
合肥,65,轨道交通1号线(合肥火车站--九联圩),1号线,117.29673872026851,31.819619761946445
合肥,66,轨道交通1号线(合肥火车站--九联圩),1号线,117.29681359126072,31.819168557100802
合肥,67,轨道交通1号线(合肥火车站--九联圩),1号线,117.29692837390148,31.818682279491355
合肥,68,轨道交通1号线(合肥火车站--九联圩),1号线,117.29738845693508,31.817189246068722
合肥,69,轨道交通1号线(合肥火车站--九联圩),1号线,117.29761399974986,31.816521749852694
合肥,70,轨道交通1号线(合肥火车站--九联圩),1号线,117.29797226964114,31.815479963512605
合肥,71,轨道交通1号线(合肥火车站--九联圩),1号线,117.29802118312874,31.815195831194732
合肥,72,轨道交通1号线(合肥火车站--九联圩),1号线,117.29801719998717,31.81511482375121
合肥,73,轨道交通1号线(合肥火车站--九联圩),1号线,117.29800024782352,31.815023836465336
合肥,74,轨道交通1号线(合肥火车站--九联圩),1号线,117.2978486331924,31.81465802832768
合肥,75,轨道交通1号线(合肥火车站--九联圩),1号线,117.29752741845923,31.814197488473873
合肥,76,轨道交通1号线(合肥火车站--九联圩),1号线,117.29695480678853,31.813442315731344
合肥,77,轨道交通1号线(合肥火车站--九联圩),1号线,117.29630733069617,31.81298731321483
合肥,78,轨道交通1号线(合肥火车站--九联圩),1号线,117.29562193013624,31.8125463674074
合肥,79,轨道交通1号线(合肥火车站--九联圩),1号线,117.29502232180886,31.812150280280058
合肥,80,轨道交通1号线(合肥火车站--九联圩),1号线,117.29443367525242,31.811813178384543
合肥,81,轨道交通1号线(合肥火车站--九联圩),1号线,117.2932932813823,31.811085885162587
合肥,82,轨道交通1号线(合肥火车站--九联圩),1号线,117.28782626668878,31.80820377121955
合肥,83,轨道交通1号线(合肥火车站--九联圩),1号线,117.28650705473046,31.8073345381696
合肥,84,轨道交通1号线(合肥火车站--九联圩),1号线,117.28616377183673,31.807110991254135
合肥,85,轨道交通1号线(合肥火车站--九联圩),1号线,117.28589832736051,31.806902333479236
合肥,86,轨道交通1号线(合肥火车站--九联圩),1号线,117.28548619176316,31.80651485051504
合肥,87,轨道交通1号线(合肥火车站--九联圩),1号线,117.28504711585904,31.80600938092535
合肥,88,轨道交通1号线(合肥火车站--九联圩),1号线,117.28477469917982,31.80555868442788
合肥,89,轨道交通1号线(合肥火车站--九联圩),1号线,117.28463001469918,31.805248833011426
合肥,90,轨道交通1号线(合肥火车站--九联圩),1号线,117.28454421381853,31.804933898828615
合肥,91,轨道交通1号线(合肥火车站--九联圩),1号线,117.28446941025732,31.80441391490672
合肥,92,轨道交通1号线(合肥火车站--九联圩),1号线,117.28444761490209,31.802690656889382
合肥,93,轨道交通1号线(合肥火车站--九联圩),1号线,117.28460743979663,31.801193187134597
合肥,94,轨道交通1号线(合肥火车站--九联圩),1号线,117.2847682613915,31.79970171786189
合肥,95,轨道交通1号线(合肥火车站--九联圩),1号线,117.28491304642564,31.798931389881194
合肥,96,轨道交通1号线(合肥火车站--九联圩),1号线,117.28506780339325,31.798242061071146
合肥,97,轨道交通1号线(合肥火车站--九联圩),1号线,117.28584945759054,31.795906580879603
合肥,98,轨道交通1号线(合肥火车站--九联圩),1号线,117.2859303229302,31.79560541743449
合肥,99,轨道交通1号线(合肥火车站--九联圩),1号线,117.28597225864348,31.795389322956826
合肥,100,轨道交通1号线(合肥火车站--九联圩),1号线,117.28604116557455,31.794899145914677
合肥,101,轨道交通1号线(合肥火车站--九联圩),1号线,117.28604519094507,31.794542082701636
合肥,102,轨道交通1号线(合肥火车站--九联圩),1号线,117.28604522559192,31.794172023170717
合肥,103,轨道交通1号线(合肥火车站--九联圩),1号线,117.28592108653848,31.78766316961651
合肥,104,轨道交通1号线(合肥火车站--九联圩),1号线,117.28592318090088,31.786612003213712
合肥,105,轨道交通1号线(合肥火车站--九联圩),1号线,117.28592130052698,31.785376814890874
合肥,106,轨道交通1号线(合肥火车站--九联圩),1号线,117.28592232856259,31.78505576397463
合肥,107,轨道交通1号线(合肥火车站--九联圩),1号线,117.28589424439467,31.77589142495933
合肥,108,轨道交通1号线(合肥火车站--九联圩),1号线,117.28589229005227,31.775446362406555
合肥,109,轨道交通1号线(合肥火车站--九联圩),1号线,117.28589132368757,31.775108314262148
合肥,110,轨道交通1号线(合肥火车站--九联圩),1号线,117.2858903549833,31.774795269862715
合肥,111,轨道交通1号线(合肥火车站--九联圩),1号线,117.28589141687682,31.774112168736977
合肥,112,轨道交通1号线(合肥火车站--九联圩),1号线,117.28592941036818,31.773365006267138
合肥,113,轨道交通1号线(合肥火车站--九联圩),1号线,117.28599333193858,31.772826837544716
合肥,114,轨道交通1号线(合肥火车站--九联圩),1号线,117.28612213687654,31.772133554203627
合肥,115,轨道交通1号线(合肥火车站--九联圩),1号线,117.28621899708318,31.771535330062967
合肥,116,轨道交通1号线(合肥火车站--九联圩),1号线,117.28660429482606,31.770686656686323
合肥,117,轨道交通1号线(合肥火车站--九联圩),1号线,117.28724705953209,31.769850608512517
合肥,118,轨道交通1号线(合肥火车站--九联圩),1号线,117.28752752461693,31.769403136332283
合肥,119,轨道交通1号线(合肥火车站--九联圩),1号线,117.28798063186275,31.76893540576894
合肥,120,轨道交通1号线(合肥火车站--九联圩),1号线,117.29588712016954,31.761599030789565
合肥,121,轨道交通1号线(合肥火车站--九联圩),1号线,117.29681109388386,31.760744384164976
合肥,122,轨道交通1号线(合肥火车站--九联圩),1号线,117.29701964054779,31.76048200095497
合肥,123,轨道交通1号线(合肥火车站--九联圩),1号线,117.29713740286486,31.76013475746172
合肥,124,轨道交通1号线(合肥火车站--九联圩),1号线,117.2971913127744,31.75977561909052
合肥,125,轨道交通1号线(合肥火车站--九联圩),1号线,117.29711073845762,31.757215413378884
合肥,126,轨道交通1号线(合肥火车站--九联圩),1号线,117.29711478808925,31.756588324043733
合肥,127,轨道交通1号线(合肥火车站--九联圩),1号线,117.29711085641975,31.755957247857374
合肥,128,轨道交通1号线(合肥火车站--九联圩),1号线,117.29699469795143,31.749837656753417
合肥,129,轨道交通1号线(合肥火车站--九联圩),1号线,117.29707910922444,31.743397724002673
合肥,130,轨道交通1号线(合肥火车站--九联圩),1号线,117.29707717987512,31.74269264272159
合肥,131,轨道交通1号线(合肥火车站--九联圩),1号线,117.29707624710974,31.74199956163643
合肥,132,轨道交通1号线(合肥火车站--九联圩),1号线,117.2970610308044,31.73402566671968
合肥,133,轨道交通1号线(合肥火车站--九联圩),1号线,117.29705210499102,31.733453617782967
合肥,134,轨道交通1号线(合肥火车站--九联圩),1号线,117.29705116751671,31.732810547924487
合肥,135,轨道交通1号线(合肥火车站--九联圩),1号线,117.29710134429173,31.729701123985883
合肥,136,轨道交通1号线(合肥火车站--九联圩),1号线,117.29707477475782,31.72576475046929
合肥,137,轨道交通1号线(合肥火车站--九联圩),1号线,117.29708183206459,31.72498165722973
合肥,138,轨道交通1号线(合肥火车站--九联圩),1号线,117.2970749280651,31.724127580582394
合肥,139,轨道交通1号线(合肥火车站--九联圩),1号线,117.29708296069691,31.723583511334603
合肥,140,轨道交通1号线(合肥火车站--九联圩),1号线,117.29681001708575,31.71899150654762
合肥,141,轨道交通1号线(合肥火车站--九联圩),1号线,117.29666766400018,31.71556641309912
合肥,142,轨道交通1号线(合肥火车站--九联圩),1号线,117.29666969669479,31.7151683720386
合肥,143,轨道交通1号线(合肥火车站--九联圩),1号线,117.29666175275159,31.714764347158148
合肥,144,轨道交通1号线(合肥火车站--九联圩),1号线,117.29667006060215,31.711280011269654
合肥,145,轨道交通1号线(合肥火车站--九联圩),1号线,117.29663838482895,31.7085948236655
合肥,146,轨道交通1号线(合肥火车站--九联圩),1号线,117.2966314742426,31.70780976621631
合肥,147,轨道交通1号线(合肥火车站--九联圩),1号线,117.29663150587126,31.707471736663493
合肥,148,轨道交通1号线(合肥火车站--九联圩),1号线,117.29663552697907,31.707148701889814
合肥,149,轨道交通1号线(合肥火车站--九联圩),1号线,117.29663573040067,31.704974515133518
合肥,150,轨道交通1号线(合肥火车站--九联圩),1号线,117.29662686038213,31.703804431457282
合肥,151,轨道交通1号线(合肥火车站--九联圩),1号线,117.29659399732593,31.70314443115149
合肥,152,轨道交通1号线(合肥火车站--九联圩),1号线,117.29655622253219,31.70166237212186
合肥,153,轨道交通1号线(合肥火车站--九联圩),1号线,117.29655631271449,31.700698293904658
合肥,154,轨道交通1号线(合肥火车站--九联圩),1号线,117.29655734018529,31.700380266645723
合肥,155,轨道交通1号线(合肥火车站--九联圩),1号线,117.29655736806218,31.70008224274472
合肥,156,轨道交通1号线(合肥火车站--九联圩),1号线,117.296560418573,31.699469188882055
合肥,157,轨道交通1号线(合肥火车站--九联圩),1号线,117.29646395160505,31.696131089862632
合肥,158,轨道交通1号线(合肥火车站--九联圩),1号线,117.29641011587192,31.69568814560193
合肥,159,轨道交通1号线(合肥火车站--九联圩),1号线,117.29628544112005,31.695248319057022
合肥,160,轨道交通1号线(合肥火车站--九联圩),1号线,117.29618070381716,31.69498847288897
合肥,161,轨道交通1号线(合肥火车站--九联圩),1号线,117.29603904929398,31.694737688210864
合肥,162,轨道交通1号线(合肥火车站--九联圩),1号线,117.29587544280403,31.694500940419317
合肥,163,轨道交通1号线(合肥火车站--九联圩),1号线,117.29566493934777,31.694291271259754
合肥,164,轨道交通1号线(合肥火车站--九联圩),1号线,117.29542849115231,31.69410664563747
合肥,165,轨道交通1号线(合肥火车站--九联圩),1号线,117.2951511308458,31.693954088126855
合肥,166,轨道交通1号线(合肥火车站--九联圩),1号线,117.29487177067412,31.693829534397615
合肥,167,轨道交通1号线(合肥火车站--九联圩),1号线,117.29455149992883,31.69370904571637
合肥,168,轨道交通1号线(合肥火车站--九联圩),1号线,117.29430505861902,31.69362543840184
合肥,169,轨道交通1号线(合肥火车站--九联圩),1号线,117.29401571029179,31.693553899804584
合肥,170,轨道交通1号线(合肥火车站--九联圩),1号线,117.29355075105944,31.693463639371156
合肥,171,轨道交通1号线(合肥火车站--九联圩),1号线,117.29331328003693,31.69342401579818
合肥,172,轨道交通1号线(合肥火车站--九联圩),1号线,117.29304287889684,31.69339844438397
合肥,173,轨道交通1号线(合肥火车站--九联圩),1号线,117.29185946815268,31.693401309725868
合肥,174,轨道交通1号线(合肥火车站--九联圩),1号线,117.29050239477843,31.693399409790235
合肥,175,轨道交通1号线(合肥火车站--九联圩),1号线,117.28848765028039,31.69340544896003
合肥,176,轨道交通1号线(合肥火车站--九联圩),1号线,117.28148853592171,31.69342620683903
合肥,177,轨道交通1号线(合肥火车站--九联圩),1号线,117.28067006222938,31.693424260653277
合肥,1,轨道交通1号线(九联圩--合肥火车站),1号线,117.28067006222938,31.693424260653277
合肥,2,轨道交通1号线(九联圩--合肥火车站),1号线,117.28148853592171,31.69342620683903
合肥,3,轨道交通1号线(九联圩--合肥火车站),1号线,117.28848765028039,31.69340544896003
合肥,4,轨道交通1号线(九联圩--合肥火车站),1号线,117.29050239477843,31.693399409790235
合肥,5,轨道交通1号线(九联圩--合肥火车站),1号线,117.29185946815268,31.693401309725868
合肥,6,轨道交通1号线(九联圩--合肥火车站),1号线,117.29304287889684,31.69339844438397
合肥,7,轨道交通1号线(九联圩--合肥火车站),1号线,117.29331328003693,31.69342401579818
合肥,8,轨道交通1号线(九联圩--合肥火车站),1号线,117.29355075105944,31.693463639371156
合肥,9,轨道交通1号线(九联圩--合肥火车站),1号线,117.29401571029179,31.693553899804584
