城市,序号,全称,简称,lng,lat
嘉兴,1,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.71253052683194,30.51498092795779
嘉兴,2,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.7114589229098,30.514983216669464
嘉兴,3,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70931482649952,30.515016887515834
嘉兴,4,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70777799935968,30.515018889915968
嘉兴,5,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70636306338764,30.515029788692154
嘉兴,6,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.7047405042057,30.51503703423293
嘉兴,7,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70339858035247,30.515042943498578
嘉兴,8,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70163139045658,30.515057525183337
嘉兴,9,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.70033750188362,30.515059466577267
嘉兴,10,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69858942260505,30.51506715032184
嘉兴,11,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69705005655179,30.51508056862514
嘉兴,12,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69652197430496,30.5150704147446
嘉兴,13,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69538198181917,30.514993278685413
嘉兴,14,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69449556557456,30.514899756987894
嘉兴,15,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69373194592337,30.51479005219233
嘉兴,16,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69237742686698,30.514564386996827
嘉兴,17,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.69047797232375,30.514184737588277
嘉兴,18,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.68946289546057,30.513972556743994
嘉兴,19,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.68875824062127,30.513832827223894
嘉兴,20,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.68782503309728,30.51367251419957
嘉兴,21,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.68690281963093,30.51349919905531
嘉兴,22,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.66089709636049,30.508738603149585
嘉兴,23,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.66008975003531,30.508596179356548
嘉兴,24,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65926742908538,30.50844678205537
嘉兴,25,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65859479642305,30.508343083959744
嘉兴,26,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65710282176627,30.508004992842285
嘉兴,27,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65562480424984,30.507545893999172
嘉兴,28,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65396511676197,30.507078111797085
嘉兴,29,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.65005678902446,30.50557868472508
嘉兴,30,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.64838699150667,30.504897869501896
嘉兴,31,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.64211154840068,30.501969537231275
嘉兴,32,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.63665982020645,30.499345060445172
嘉兴,33,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.63252427739042,30.4974657808891
嘉兴,34,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.62842114156992,30.495576002771273
嘉兴,35,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.62540008685653,30.49412928524027
嘉兴,36,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.62308487275669,30.49311534673664
嘉兴,37,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.62163850052659,30.492572144646495
嘉兴,38,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61923800898752,30.491769944582234
嘉兴,39,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61718994890894,30.491236132009533
嘉兴,40,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61473503051181,30.490692528392636
嘉兴,41,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.6137248056485,30.490530432540957
嘉兴,42,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61309526725725,30.49040998235544
嘉兴,43,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61247770329433,30.49028550904333
嘉兴,44,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.61080780377895,30.489845890238616
嘉兴,45,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.60909978650665,30.48952215506763
嘉兴,46,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.60636508573985,30.488857982280198
嘉兴,47,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.60338308094332,30.488276588945876
嘉兴,48,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.60167745810635,30.487889358515346
嘉兴,49,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.6002406615023,30.48758490584311
嘉兴,50,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.59831976121346,30.487298466220487
嘉兴,51,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.59621664065611,30.487160847914925
嘉兴,52,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.59429633541113,30.486985043283525
嘉兴,53,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.59104437559758,30.48674498886442
嘉兴,54,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.58860828956733,30.48659663235249
嘉兴,55,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.58705143155298,30.486492268611553
嘉兴,56,杭海城际铁路(浙大国际校区--余杭高铁站),杭海城际,120.58547243083925,30.4863707932687
