城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
大连,1,1号线,地铁1号线(河口--姚家),2,5,26.58285,河口,姚家,地铁,[],[]
大连,2,1号线,地铁1号线(姚家--河口),2,5,26.58285,姚家,河口,地铁,[],[]
大连,1,2号线,地铁2号线(海之韵--辛寨子),2,5,25.07107,海之韵,辛寨子,地铁,[],[]
大连,2,2号线,地铁2号线(辛寨子--海之韵),2,5,25.07107,辛寨子,海之韵,地铁,[],[]
大连,1,3号线,地铁3号线(金石滩--地铁大连站),1,8,48.68089,金石滩,地铁大连站,地铁,[],[]
大连,2,3号线,地铁3号线(地铁大连站--金石滩),1,8,48.68089,地铁大连站,金石滩,地铁,[],[]
大连,1,3号线支,地铁3号线(金石滩--地铁大连站),1,8,48.68089,金石滩,地铁大连站,地铁,[],[]
大连,2,3号线支,地铁3号线(地铁大连站--金石滩),1,8,48.68089,地铁大连站,金石滩,地铁,[],[]
大连,1,12号线,地铁12号线(旅顺新港--河口),2,8,39.52008,旅顺新港,河口,地铁,0610,2120
大连,2,12号线,地铁12号线(河口--旅顺新港),2,8,39.52008,河口,旅顺新港,地铁,0605,2100
