城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
天津,1,1号线,地铁1号线(东沽路--刘园),2,5,37.63293,东沽路,刘园,地铁,[],[]
天津,2,1号线,地铁1号线(刘园--东沽路),2,5,37.63294,刘园,东沽路,地铁,[],[]
天津,1,2号线,地铁2号线(滨海国际机场--曹庄),2,5,26.03973,滨海国际机场,曹庄,地铁,[],[]
天津,2,2号线,地铁2号线(曹庄--滨海国际机场),2,5,26.03973,曹庄,滨海国际机场,地铁,[],[]
天津,1,3号线,地铁3号线(南站--小淀),2,5,32.91404,南站,小淀,地铁,[],[]
天津,2,3号线,地铁3号线(小淀--南站),2,5,32.91404,小淀,南站,地铁,[],[]
天津,1,5号线,地铁5号线(李七庄南--北辰科技园北),2,5,34.52065,李七庄南,北辰科技园北,地铁,[],[]
天津,2,5号线,地铁5号线(北辰科技园北--李七庄南),2,5,34.52065,北辰科技园北,李七庄南,地铁,[],[]
天津,1,6号线,地铁6号线(梅林路--南孙庄),2,5,41.76648,梅林路,南孙庄,地铁,[],[]
天津,2,6号线,地铁6号线(南孙庄--梅林路),2,5,41.76669,南孙庄,梅林路,地铁,[],[]
天津,1,9号线,津滨轻轨9号线(东海路--天津站),2,9,51.39470,东海路,天津站,地铁,[],[]
天津,2,9号线,津滨轻轨9号线(天津站--东海路),2,9,51.39470,天津站,东海路,地铁,[],[]
