城市,序号,全称,简称,lng,lat
太原,1,轨道交通2号线(西桥--尖草坪),2号线,112.55658855110254,37.707450199079105
太原,2,轨道交通2号线(西桥--尖草坪),2号线,112.55700120288193,37.7081838563197
太原,3,轨道交通2号线(西桥--尖草坪),2号线,112.5576572218993,37.709337887332666
太原,4,轨道交通2号线(西桥--尖草坪),2号线,112.55801276713554,37.709941438274434
太原,5,轨道交通2号线(西桥--尖草坪),2号线,112.5601569351444,37.71337664710292
太原,6,轨道交通2号线(西桥--尖草坪),2号线,112.56053246089684,37.71400919196277
太原,7,轨道交通2号线(西桥--尖草坪),2号线,112.56069868988729,37.71430043192638
太原,8,轨道交通2号线(西桥--尖草坪),2号线,112.5608318709049,37.714545623985
太原,9,轨道交通2号线(西桥--尖草坪),2号线,112.56114028378376,37.71513606722157
太原,10,轨道交通2号线(西桥--尖草坪),2号线,112.56127546030662,37.71541926155464
太原,11,轨道交通2号线(西桥--尖草坪),2号线,112.5613605688864,37.71561538444993
太原,12,轨道交通2号线(西桥--尖草坪),2号线,112.56143766339805,37.71582349708112
太原,13,轨道交通2号线(西桥--尖草坪),2号线,112.56149673299028,37.71600558438652
太原,14,轨道交通2号线(西桥--尖草坪),2号线,112.5615457843247,37.716211659593455
太原,15,轨道交通2号线(西桥--尖草坪),2号线,112.56157480979722,37.716375706221186
太原,16,轨道交通2号线(西桥--尖草坪),2号线,112.56159282233563,37.71650573660038
太原,17,轨道交通2号线(西桥--尖草坪),2号线,112.56161183338844,37.716661769634385
太原,18,轨道交通2号线(西桥--尖草坪),2号线,112.56167284626062,37.7173578858899
太原,19,轨道交通2号线(西桥--尖草坪),2号线,112.56172785510363,37.71800799218905
太原,20,轨道交通2号线(西桥--尖草坪),2号线,112.56197088869556,37.720910467208824
太原,21,轨道交通2号线(西桥--尖草坪),2号线,112.5620357348366,37.7230956759286
太原,22,轨道交通2号线(西桥--尖草坪),2号线,112.56230245320323,37.72900838177732
太原,23,轨道交通2号线(西桥--尖草坪),2号线,112.56231044126136,37.72921540534206
太原,24,轨道交通2号线(西桥--尖草坪),2号线,112.56232139160488,37.729788456439465
太原,25,轨道交通2号线(西桥--尖草坪),2号线,112.56233234516694,37.73033350603375
太原,26,轨道交通2号线(西桥--尖草坪),2号线,112.56233432325055,37.73054952273476
太原,27,轨道交通2号线(西桥--尖草坪),2号线,112.5624353428559,37.731680727208754
太原,28,轨道交通2号线(西桥--尖草坪),2号线,112.56244633760205,37.731867753792756
太原,29,轨道交通2号线(西桥--尖草坪),2号线,112.56243526944623,37.73231776986758
太原,30,轨道交通2号线(西桥--尖草坪),2号线,112.56241920965853,37.732630770454634
太原,31,轨道交通2号线(西桥--尖草坪),2号线,112.56248311127963,37.734306967179876
太原,32,轨道交通2号线(西桥--尖草坪),2号线,112.56247306513585,37.73457897325385
太原,33,轨道交通2号线(西桥--尖草坪),2号线,112.56243998746022,37.73482894838419
太原,34,轨道交通2号线(西桥--尖草坪),2号线,112.56240289837261,37.73512592168824
太原,35,轨道交通2号线(西桥--尖草坪),2号线,112.56237582798133,37.73538890547944
太原,36,轨道交通2号线(西桥--尖草坪),2号线,112.56217136883349,37.736733737984615
太原,37,轨道交通2号线(西桥--尖草坪),2号线,112.56201001376569,37.737717600162256
太原,38,轨道交通2号线(西桥--尖草坪),2号线,112.56182760930803,37.73884144503172
太原,39,轨道交通2号线(西桥--尖草坪),2号线,112.56163419845151,37.73985926731201
太原,40,轨道交通2号线(西桥--尖草坪),2号线,112.56138165903249,37.74118703429852
太原,41,轨道交通2号线(西桥--尖草坪),2号线,112.56127541524141,37.74188294652164
太原,42,轨道交通2号线(西桥--尖草坪),2号线,112.56119223140777,37.742362872766215
太原,43,轨道交通2号线(西桥--尖草坪),2号线,112.56110103532987,37.742837787838496
太原,44,轨道交通2号线(西桥--尖草坪),2号线,112.56102586628931,37.74329072254488
太原,45,轨道交通2号线(西桥--尖草坪),2号线,112.56069919712827,37.7446593904231
太原,46,轨道交通2号线(西桥--尖草坪),2号线,112.5604085652118,37.7461521149118
太原,47,轨道交通2号线(西桥--尖草坪),2号线,112.56036045695646,37.746427071433835
太原,48,轨道交通2号线(西桥--尖草坪),2号线,112.56029632922291,37.74664800156452
太原,49,轨道交通2号线(西桥--尖草坪),2号线,112.56018310605333,37.747012875831956
太原,50,轨道交通2号线(西桥--尖草坪),2号线,112.55993564128661,37.74758958137218
太原,51,轨道交通2号线(西桥--尖草坪),2号线,112.55967215641347,37.748085255547096
太原,52,轨道交通2号线(西桥--尖草坪),2号线,112.55869234823608,37.74968699998244
太原,53,轨道交通2号线(西桥--尖草坪),2号线,112.55865728087717,37.74975895558175
太原,54,轨道交通2号线(西桥--尖草坪),2号线,112.55863523760978,37.74981192830218
