城市,序号,全称,简称,lng,lat
常州,1,地铁1号线(南夏墅--森林公园),1号线,119.94737322784816,31.634360039801784
常州,2,地铁1号线(南夏墅--森林公园),1号线,119.94732925966696,31.634800137519928
常州,3,地铁1号线(南夏墅--森林公园),1号线,119.94710238653965,31.637484648685657
常州,4,地铁1号线(南夏墅--森林公园),1号线,119.9470374057312,31.63844579860144
常州,5,地铁1号线(南夏墅--森林公园),1号线,119.94701530654733,31.639984866040635
常州,6,地铁1号线(南夏墅--森林公园),1号线,119.9469992133564,31.64134592051544
常州,7,地铁1号线(南夏墅--森林公园),1号线,119.94698812139637,31.64260196459999
常州,8,地铁1号线(南夏墅--森林公园),1号线,119.94698311701599,31.642742977661648
常州,9,地铁1号线(南夏墅--森林公园),1号线,119.9469781125475,31.642884990761942
常州,10,地铁1号线(南夏墅--森林公园),1号线,119.94688121618672,31.64345120684705
常州,11,地铁1号线(南夏墅--森林公园),1号线,119.94633175495557,31.647139442958057
常州,12,地铁1号线(南夏墅--森林公园),1号线,119.94625682918132,31.647622611399555
常州,13,地铁1号线(南夏墅--森林公园),1号线,119.94618290128109,31.648109777893154
常州,14,地铁1号线(南夏墅--森林公园),1号线,119.94412989795148,31.660654389329725
常州,15,地铁1号线(南夏墅--森林公园),1号线,119.94394707284431,31.66170579829376
常州,16,地铁1号线(南夏墅--森林公园),1号线,119.94376424683217,31.662751206977422
常州,17,地铁1号线(南夏墅--森林公园),1号线,119.94345350318389,31.66494191843764
常州,18,地铁1号线(南夏墅--森林公园),1号线,119.94326564820223,31.666357353173073
常州,19,地铁1号线(南夏墅--森林公园),1号线,119.94308877091369,31.667832769564928
常州,20,地铁1号线(南夏墅--森林公园),1号线,119.94293885547768,31.669294133028334
常州,21,地铁1号线(南夏墅--森林公园),1号线,119.94284684060985,31.67095139272791
常州,22,地铁1号线(南夏墅--森林公园),1号线,119.94280976411899,31.67242653746634
常州,23,地铁1号线(南夏墅--森林公园),1号线,119.94278251436187,31.675729759499212
常州,24,地铁1号线(南夏墅--森林公园),1号线,119.94278644544256,31.67645679027396
常州,25,地铁1号线(南夏墅--森林公园),1号线,119.94278538196386,31.67720183244366
常州,26,地铁1号线(南夏墅--森林公园),1号线,119.94313781715977,31.68943587334713
常州,27,地铁1号线(南夏墅--森林公园),1号线,119.94317270556441,31.690146851597643
常州,28,地铁1号线(南夏墅--森林公园),1号线,119.94319760733325,31.690866850818296
常州,29,地铁1号线(南夏墅--森林公园),1号线,119.9432913541715,31.692237758316484
常州,30,地铁1号线(南夏墅--森林公园),1号线,119.94349950854274,31.698513798233286
常州,31,地铁1号线(南夏墅--森林公园),1号线,119.94356229402057,31.69993778132024
常州,32,地铁1号线(南夏墅--森林公园),1号线,119.94361509422721,31.70135578583285
常州,33,地铁1号线(南夏墅--森林公园),1号线,119.94380532362378,31.70703386528631
常州,34,地铁1号线(南夏墅--森林公园),1号线,119.94383321211507,31.70784787789229
常州,35,地铁1号线(南夏墅--森林公园),1号线,119.94386110100592,31.708656890680466
常州,36,地铁1号线(南夏墅--森林公园),1号线,119.94401543803454,31.713677021304797
常州,37,地铁1号线(南夏墅--森林公园),1号线,119.94404832123219,31.714465026401438
常州,38,地铁1号线(南夏墅--森林公园),1号线,119.94407621114955,31.715259042708357
常州,39,地铁1号线(南夏墅--森林公园),1号线,119.94410200606515,31.71717516849204
常州,40,地铁1号线(南夏墅--森林公园),1号线,119.94401680401407,31.72091169796467
常州,41,地铁1号线(南夏墅--森林公园),1号线,119.94404769865193,31.721601702844225
常州,42,地铁1号线(南夏墅--森林公园),1号线,119.94406065972136,31.72183069907434
常州,43,地铁1号线(南夏墅--森林公园),1号线,119.94407462438588,31.72200168761057
常州,44,地铁1号线(南夏墅--森林公园),1号线,119.94409357904091,31.722203669116197
常州,45,地铁1号线(南夏墅--森林公园),1号线,119.94424121555927,31.72388853707511
常州,46,地铁1号线(南夏墅--森林公园),1号线,119.94428909349723,31.7244804992308
常州,47,地铁1号线(南夏墅--森林公园),1号线,119.94433497462353,31.725068465282476
常州,48,地铁1号线(南夏墅--森林公园),1号线,119.94445566783975,31.726542369666824
常州,49,地铁1号线(南夏墅--森林公园),1号线,119.9445464043645,31.728021337208
常州,50,地铁1号线(南夏墅--森林公园),1号线,119.94456236158429,31.72824032739663
常州,51,地铁1号线(南夏墅--森林公园),1号线,119.94456220708042,31.73001051336927
常州,52,地铁1号线(南夏墅--森林公园),1号线,119.94429109504443,31.735869700380917
常州,53,地铁1号线(南夏墅--森林公园),1号线,119.94426207272772,31.73661284204937
常州,54,地铁1号线(南夏墅--森林公园),1号线,119.94423205201429,31.737353985981184
常州,55,地铁1号线(南夏墅--森林公园),1号线,119.94420796598243,31.738742191593442
常州,56,地铁1号线(南夏墅--森林公园),1号线,119.94428274443067,31.7400201855555
常州,57,地铁1号线(南夏墅--森林公园),1号线,119.94457223334588,31.740977706011748
常州,58,地铁1号线(南夏墅--森林公园),1号线,119.9449945095254,31.742052964976597
常州,59,地铁1号线(南夏墅--森林公园),1号线,119.94539182327621,31.743045260470357
常州,60,地铁1号线(南夏墅--森林公园),1号线,119.94548866226587,31.743204078266803
常州,61,地铁1号线(南夏墅--森林公园),1号线,119.94562743913765,31.743336805448667
常州,62,地铁1号线(南夏墅--森林公园),1号线,119.94578219245771,31.74344949626651
常州,63,地铁1号线(南夏墅--森林公园),1号线,119.95073077072456,31.747243194430958
常州,64,地铁1号线(南夏墅--森林公园),1号线,119.9508755098227,31.74735288053937
常州,65,地铁1号线(南夏墅--森林公园),1号线,119.95101325732536,31.74749658593537
常州,66,地铁1号线(南夏墅--森林公园),1号线,119.95109610201257,31.747618412750214
常州,67,地铁1号线(南夏墅--森林公园),1号线,119.95117894389844,31.74776924287679
常州,68,地铁1号线(南夏墅--森林公园),1号线,119.95127575304713,31.748011052067408
常州,69,地铁1号线(南夏墅--森林公园),1号线,119.95135060366961,31.7482159065387
常州,70,地铁1号线(南夏墅--森林公园),1号线,119.95188651566927,31.749821877396013
常州,71,地铁1号线(南夏墅--森林公园),1号线,119.95248924073269,31.752063765769293
常州,72,地铁1号线(南夏墅--森林公园),1号线,119.95309195242747,31.75430164618047
常州,73,地铁1号线(南夏墅--森林公园),1号线,119.95363774787147,31.756626664355263
常州,74,地铁1号线(南夏墅--森林公园),1号线,119.9540229195302,31.757943926420932
常州,75,地铁1号线(南夏墅--森林公园),1号线,119.95519835050963,31.762050666253757
常州,76,地铁1号线(南夏墅--森林公园),1号线,119.95542884498649,31.762809213404697
常州,77,地铁1号线(南夏墅--森林公园),1号线,119.95566133426755,31.76356175377601
常州,78,地铁1号线(南夏墅--森林公园),1号线,119.95589083229925,31.76425829264052
