城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
广州,1,1号线,地铁1号线(西塱--广州东站),2,5,18.08872,西塱,广州东站,地铁,0600,2255
广州,2,1号线,地铁1号线(广州东站--西塱),2,5,18.08914,广州东站,西塱,地铁,0610,2330
广州,1,2号线,地铁2号线(夜班线)(广州南站--嘉禾望岗),2,7,30.90339,广州南站,嘉禾望岗,地铁,[],[]
广州,2,2号线,地铁2号线(嘉禾望岗--广州南站),2,7,30.90341,嘉禾望岗,广州南站,地铁,0600,2335
广州,1,3号线,地铁3号线(天河客运站--番禺广场),2,7,32.84690,天河客运站,番禺广场,地铁,0610,2330
广州,2,3号线,地铁3号线(番禺广场--天河客运站),2,7,32.84690,番禺广场,天河客运站,地铁,0600,2255
广州,1,4号线,地铁4号线(南沙客运港--黄村),2,11,58.62588,南沙客运港,黄村,地铁,0600,2230
广州,2,4号线,地铁4号线(黄村--南沙客运港),2,11,58.62588,黄村,南沙客运港,地铁,0600,2315
广州,1,5号线,地铁5号线(文冲--滘口),2,7,31.34768,文冲,滘口,地铁,0600,2255
广州,2,5号线,地铁5号线(滘口--文冲),2,7,31.34768,滘口,文冲,地铁,0615,2315
广州,1,6号线,地铁6号线(浔峰岗--香雪),2,8,41.33883,浔峰岗,香雪,地铁,[],[]
广州,2,6号线,地铁6号线(香雪--浔峰岗),2,8,41.33883,香雪,浔峰岗,地铁,[],[]
广州,1,7号线,地铁7号线(广州南站--大学城南),2,5,17.27140,广州南站,大学城南,地铁,0600,2330
广州,2,7号线,地铁7号线(大学城南--广州南站),2,5,17.27140,大学城南,广州南站,地铁,0610,2315
广州,1,8号线,地铁8号线(万胜围--滘心),2,7,32.13500,万胜围,滘心,地铁,0610,2300
广州,2,8号线,地铁8号线(滘心--万胜围),2,7,32.13500,滘心,万胜围,地铁,0600,2300
广州,1,9号线,地铁9号线(高增--飞鹅岭),2,6,19.22912,高增,飞鹅岭,地铁,[],[]
广州,2,9号线,地铁9号线(飞鹅岭--高增),2,6,19.22912,飞鹅岭,高增,地铁,[],[]
广州,1,13号线,地铁13号线(新沙--鱼珠),2,7,25.62236,新沙,鱼珠,地铁,0600,2230
广州,2,13号线,地铁13号线(鱼珠--新沙),2,7,25.62236,鱼珠,新沙,地铁,0615,2315
广州,1,14号线,地铁14号线(东风--嘉禾望岗),2,10,53.55666,东风,嘉禾望岗,地铁,0600,2235
广州,2,14号线,地铁14号线(嘉禾望岗--东风),2,10,53.55666,嘉禾望岗,东风,地铁,0600,2250
广州,1,21号线,地铁21号线(员村--增城广场),2,11,61.18375,员村,增城广场,地铁,0600,2250
广州,2,21号线,地铁21号线(增城广场--员村),2,11,61.18375,增城广场,员村,地铁,0600,2235
广州,1,APM线,APM线(林和西--广州塔),2,2,3.93567,林和西,广州塔,地铁,0700,2330
广州,2,APM线,APM线(广州塔--林和西),2,2,3.93567,广州塔,林和西,地铁,0700,2330
广州,1,广佛线,广佛线(沥滘--新城东),2,8,38.61072,沥滘,新城东,地铁,0600,2300
广州,2,广佛线,广佛线(新城东--沥滘),2,8,38.61072,新城东,沥滘,地铁,0600,2230
广州,1,有轨电车,海珠有轨电车(万胜围--广州塔),2,2,7.29600,万胜围,广州塔,有轨电车,0730,2240
广州,2,有轨电车,海珠有轨电车(广州塔--万胜围),2,2,7.28876,广州塔,万胜围,有轨电车,[],[]
