城市,序号,全称,简称,lng,lat
徐州,1,地铁1号线(徐州东站--路窝),1号线,117.3005262296472,34.2678604422335
徐州,2,地铁1号线(徐州东站--路窝),1号线,117.29846924352276,34.26749213593506
徐州,3,地铁1号线(徐州东站--路窝),1号线,117.28536099131402,34.26416305385346
徐州,4,地铁1号线(徐州东站--路窝),1号线,117.28450178138769,34.2639093626213
徐州,5,地铁1号线(徐州东站--路窝),1号线,117.28363655869207,34.26367665139243
徐州,6,地铁1号线(徐州东站--路窝),1号线,117.28068344314327,34.262907884892584
徐州,7,地铁1号线(徐州东站--路窝),1号线,117.28045289105873,34.26284320696278
徐州,8,地铁1号线(徐州东站--路窝),1号线,117.28021235763514,34.262764545895394
徐州,9,地铁1号线(徐州东站--路窝),1号线,117.28000376353317,34.26266884964349
徐州,10,地铁1号线(徐州东站--路窝),1号线,117.27973029646466,34.26251425777934
徐州,11,地铁1号线(徐州东站--路窝),1号线,117.27899175455488,34.26179247250358
徐州,12,地铁1号线(徐州东站--路窝),1号线,117.2781244560124,34.260818928761424
徐州,13,地铁1号线(徐州东站--路窝),1号线,117.2776803531013,34.25997280579979
徐州,14,地铁1号线(徐州东站--路窝),1号线,117.27687698598359,34.258174482928844
徐州,15,地铁1号线(徐州东站--路窝),1号线,117.27654765011917,34.25742416906044
徐州,16,地铁1号线(徐州东站--路窝),1号线,117.27620730623472,34.25690177272931
徐州,17,地铁1号线(徐州东站--路窝),1号线,117.27556348310159,34.25642569944345
徐州,18,地铁1号线(徐州东站--路窝),1号线,117.27478086479762,34.2561246973609
徐州,19,地铁1号线(徐州东站--路窝),1号线,117.27450334525106,34.25605803059484
徐州,20,地铁1号线(徐州东站--路窝),1号线,117.27417990091479,34.25598741308115
徐州,21,地铁1号线(徐州东站--路窝),1号线,117.27387741590735,34.255932763237126
徐州,22,地铁1号线(徐州东站--路窝),1号线,117.27358191401547,34.255896095826174
徐州,23,地铁1号线(徐州东站--路窝),1号线,117.27155721563943,34.25587120889019
徐州,24,地铁1号线(徐州东站--路窝),1号线,117.26605041268257,34.255623341955804
徐州,25,地铁1号线(徐州东站--路窝),1号线,117.26423285881779,34.25547583482831
徐州,26,地铁1号线(徐州东站--路窝),1号线,117.26241017644507,34.25531721956783
徐州,27,地铁1号线(徐州东站--路窝),1号线,117.25463348266607,34.25466177100261
徐州,28,地铁1号线(徐州东站--路窝),1号线,117.25389613431166,34.25460208590695
徐州,29,地铁1号线(徐州东站--路窝),1号线,117.25315376646833,34.254540383069276
徐州,30,地铁1号线(徐州东站--路窝),1号线,117.24169942330413,34.25357133613697
徐州,31,地铁1号线(徐州东站--路窝),1号线,117.24034482239065,34.253469232864084
徐州,32,地铁1号线(徐州东站--路窝),1号线,117.23898913949435,34.253372057934044
徐州,33,地铁1号线(徐州东站--路窝),1号线,117.23645251617057,34.25316755330062
徐州,34,地铁1号线(徐州东站--路窝),1号线,117.23379260272668,34.252989750415246
徐州,35,地铁1号线(徐州东站--路窝),1号线,117.23327658258447,34.25296556005298
徐州,36,地铁1号线(徐州东站--路窝),1号线,117.2327565483795,34.25296234984343
徐州,37,地铁1号线(徐州东站--路窝),1号线,117.23191146150174,34.253017962834896
徐州,38,地铁1号线(徐州东站--路窝),1号线,117.22977409945263,34.253204848650526
徐州,39,地铁1号线(徐州东站--路窝),1号线,117.22863883609413,34.253221222002544
徐州,40,地铁1号线(徐州东站--路窝),1号线,117.22750551914397,34.25323255199502
徐州,41,地铁1号线(徐州东站--路窝),1号线,117.22602302026186,34.25327359573311
徐州,42,地铁1号线(徐州东站--路窝),1号线,117.22535676268136,34.2533261270345
徐州,43,地铁1号线(徐州东站--路窝),1号线,117.22502062273911,34.25338187302463
徐州,44,地铁1号线(徐州东站--路窝),1号线,117.2246594626814,34.253485578300975
徐州,45,地铁1号线(徐州东站--路窝),1号线,117.22432830579739,34.2536332831565
徐州,46,地铁1号线(徐州东站--路窝),1号线,117.2240261550347,34.25380399622988
徐州,47,地铁1号线(徐州东站--路窝),1号线,117.22388507770131,34.25393883926673
徐州,48,地铁1号线(徐州东站--路窝),1号线,117.2237920253287,34.25403673179062
徐州,49,地铁1号线(徐州东站--路窝),1号线,117.22364894315199,34.25419656222447
徐州,50,地铁1号线(徐州东站--路窝),1号线,117.22353287308357,34.25435341331729
徐州,51,地铁1号线(徐州东站--路窝),1号线,117.22337174175614,34.254894077281115
徐州,52,地铁1号线(徐州东站--路窝),1号线,117.22354261557699,34.25690640225656
徐州,53,地铁1号线(徐州东站--路窝),1号线,117.22348147120586,34.258033904553365
徐州,54,地铁1号线(徐州东站--路窝),1号线,117.22334735822545,34.25851760941585
徐州,55,地铁1号线(徐州东站--路窝),1号线,117.22319624372881,34.25892932946716
徐州,56,地铁1号线(徐州东站--路窝),1号线,117.22298710037813,34.259337005743824
徐州,57,地铁1号线(徐州东站--路窝),1号线,117.22259583567019,34.26001942798293
徐州,58,地铁1号线(徐州东站--路窝),1号线,117.22214452848033,34.26074977736549
徐州,59,地铁1号线(徐州东站--路窝),1号线,117.22136600044097,34.261803720806476
徐州,60,地铁1号线(徐州东站--路窝),1号线,117.22104376540953,34.26233124004477
徐州,61,地铁1号线(徐州东站--路窝),1号线,117.22077556103386,34.26282481482503
徐州,62,地铁1号线(徐州东站--路窝),1号线,117.22048933240015,34.26342332883863
徐州,63,地铁1号线(徐州东站--路窝),1号线,117.22019409459027,34.26402682990759
徐州,64,地铁1号线(徐州东站--路窝),1号线,117.219065140489,34.26646183925982
徐州,65,地铁1号线(徐州东站--路窝),1号线,117.21888299945421,34.26668358380425
徐州,66,地铁1号线(徐州东站--路窝),1号线,117.21859778901678,34.26690423349649
徐州,67,地铁1号线(徐州东站--路窝),1号线,117.21821751735676,34.26706381751337
