城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
成都,1,1号线(,地铁1号线(科学城--韦家碾),2,8,37.57149,科学城,韦家碾,地铁,0610,2250
成都,2,1号线(,地铁1号线(韦家碾--科学城),2,8,37.57149,韦家碾,科学城,地铁,0610,2250
成都,1,1号线(,地铁1号线(科学城--韦家碾),2,8,37.57149,科学城,韦家碾,地铁,0610,2250
成都,2,1号线(,地铁1号线(韦家碾--科学城),2,8,37.57149,韦家碾,科学城,地铁,0610,2250
成都,1,2号线,地铁2号线(犀浦--龙泉驿),2,9,41.54386,犀浦,龙泉驿,地铁,0610,2300
成都,2,2号线,地铁2号线(龙泉驿--犀浦),2,9,41.54386,龙泉驿,犀浦,地铁,0610,2300
成都,1,3号线,地铁3号线(成都医学院--双流西站),2,9,49.62683,成都医学院,双流西站,地铁,0610,2250
成都,2,3号线,地铁3号线(双流西站--成都医学院),2,9,49.62683,双流西站,成都医学院,地铁,0600,2250
成都,1,4号线,地铁4号线(万盛--西河),2,9,42.03881,万盛,西河,地铁,0610,2300
成都,2,4号线,地铁4号线(西河--万盛),2,9,42.03879,西河,万盛,地铁,0610,2300
成都,1,5号线,地铁5号线(回龙--华桂路),2,9,48.28653,回龙,华桂路,地铁,0610,2250
成都,2,5号线,地铁5号线(华桂路--回龙),2,9,48.28653,华桂路,回龙,地铁,0610,2250
成都,1,6号线,地铁6号线(望丛祠--兰家沟),2,10,68.28881,望丛祠,兰家沟,地铁,0610,2300
成都,2,6号线,地铁6号线(兰家沟--望丛祠),2,10,68.28899,兰家沟,望丛祠,地铁,0610,2230
成都,1,7号线外,地铁7号线外环(火车北站--火车北站),2,5,38.65133,火车北站,火车北站,地铁,0615,2319
成都,1,7号线内,地铁7号线内环(火车北站--火车北站),2,5,38.65133,火车北站,火车北站,地铁,0618,2359
成都,1,8号线,地铁8号线(莲花--十里店),2,7,28.91249,莲花,十里店,地铁,0610,2300
成都,2,8号线,地铁8号线(十里店--莲花),2,7,28.91249,十里店,莲花,地铁,0610,2300
成都,1,9号线,地铁9号线(金融城东--黄田坝),2,6,21.32529,金融城东,黄田坝,地铁,0610,2300
成都,2,9号线,地铁9号线(黄田坝--金融城东),2,6,21.32516,黄田坝,金融城东,地铁,0610,2300
成都,1,10号线,地铁10号线(新平--太平园),2,8,36.72821,新平,太平园,地铁,0600,2240
成都,2,10号线,地铁10号线(太平园--新平),2,8,36.72821,太平园,新平,地铁,0600,2310
成都,1,17号线,地铁17号线(机投桥--金星),3,7,25.12490,机投桥,金星,地铁,0610,2300
成都,2,17号线,地铁17号线(金星--机投桥),3,7,25.12490,金星,机投桥,地铁,0610,2300
成都,1,18号线,地铁18号线(天府机场北--火车南站),2,10,67.49579,天府机场北,火车南站,地铁,0600,2330
成都,2,18号线,地铁18号线(火车南站--天府机场北),2,10,67.49579,火车南站,天府机场北,地铁,0600,2330
成都,1,蓉2号线,有轨电车蓉2号线支线(仁和--新业路),2,2,11.65980,仁和,新业路,有轨电车,0645,2110
成都,2,蓉2号线,有轨电车蓉2号线支线(新业路--仁和),2,2,11.66341,新业路,仁和,有轨电车,0645,2150
成都,1,蓉2号线,有轨电车蓉2号线支线(仁和--新业路),2,2,11.65980,仁和,新业路,有轨电车,0645,2110
成都,2,蓉2号线,有轨电车蓉2号线支线(新业路--仁和),2,2,11.66341,新业路,仁和,有轨电车,0645,2150
