城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
昆明,1,1号线支,地铁1号线(昆明南火车站--环城南路),2,6,26.27625,昆明南火车站,环城南路,地铁,[],[]
昆明,2,1号线支,地铁1号线(环城南路--昆明南火车站),2,6,26.27625,环城南路,昆明南火车站,地铁,[],[]
昆明,1,1号线,地铁1号线(昆明南火车站--环城南路),2,6,26.27625,昆明南火车站,环城南路,地铁,[],[]
昆明,2,1号线,地铁1号线(环城南路--昆明南火车站),2,6,26.27625,环城南路,昆明南火车站,地铁,[],[]
昆明,1,2号线,地铁2号线(环城南路--北部汽车站),2,4,12.35743,环城南路,北部汽车站,地铁,[],[]
昆明,2,2号线,地铁2号线(北部汽车站--环城南路),2,4,12.35743,北部汽车站,环城南路,地铁,[],[]
昆明,1,3号线,地铁3号线(东部汽车站--西山公园),2,5,22.71731,东部汽车站,西山公园,地铁,[],[]
昆明,2,3号线,地铁3号线(西山公园--东部汽车站),2,5,22.71731,西山公园,东部汽车站,地铁,[],[]
昆明,1,4号线,地铁4号线(昆明南火车站--金川路),2,7,43.59156,昆明南火车站,金川路,地铁,0620,2245
昆明,2,4号线,地铁4号线(金川路--昆明南火车站),2,7,43.59088,金川路,昆明南火车站,地铁,0620,2220
昆明,1,6号线,地铁6号线(机场中心--塘子巷),2,5,24.84580,机场中心,塘子巷,地铁,0620,2300
昆明,2,6号线,地铁6号线(塘子巷--机场中心),2,5,24.84580,塘子巷,机场中心,地铁,0620,2255
