城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
杭州,1,1号线,地铁1号线(湘湖--萧山国际机场),2,8,51.42795,湘湖,萧山国际机场,地铁,[],[]
杭州,2,1号线,地铁1号线(萧山国际机场--湘湖),2,8,51.42796,萧山国际机场,湘湖,地铁,0600,2230
杭州,1,2号线,地铁2号线(良渚--朝阳),2,9,42.43325,良渚,朝阳,地铁,[],[]
杭州,2,2号线,地铁2号线(朝阳--良渚),2,9,42.43325,朝阳,良渚,地铁,[],[]
杭州,1,4号线,地铁4号线(浦沿--彭埠),2,6,20.12606,浦沿,彭埠,地铁,0600,2255
杭州,2,4号线,地铁4号线(彭埠--浦沿),2,6,20.12606,彭埠,浦沿,地铁,0600,2251
杭州,1,5号线,地铁5号线(姑娘桥--金星),2,9,53.46219,姑娘桥,金星,地铁,0600,2230
杭州,2,5号线,地铁5号线(金星--姑娘桥),2,9,53.46219,金星,姑娘桥,地铁,0605,2234
杭州,1,6号线支,地铁6号线(桂花西路--钱江世纪城),2,9,42.98662,桂花西路,钱江世纪城,地铁,0602,2230
杭州,2,6号线支,地铁6号线(钱江世纪城--桂花西路),2,9,42.98662,钱江世纪城,桂花西路,地铁,0612,2230
杭州,1,6号线,地铁6号线(桂花西路--钱江世纪城),2,9,42.98662,桂花西路,钱江世纪城,地铁,0602,2230
杭州,2,6号线,地铁6号线(钱江世纪城--桂花西路),2,9,42.98662,钱江世纪城,桂花西路,地铁,0612,2230
杭州,1,7号线,地铁7号线(江东二路--奥体中心),2,8,38.92881,江东二路,奥体中心,地铁,0613,2230
杭州,2,7号线,地铁7号线(奥体中心--江东二路),2,8,38.92881,奥体中心,江东二路,地铁,0616,2230
杭州,1,8号线,地铁8号线(新湾路--文海南路),2,5,16.33044,新湾路,文海南路,地铁,0605,2253
杭州,2,8号线,地铁8号线(文海南路--新湾路),2,5,16.33044,文海南路,新湾路,地铁,0605,2302
杭州,1,9号线,地铁9号线(客运中心--临平),[],[],11.91581,客运中心,临平,地铁,0610,2340
杭州,2,9号线,地铁9号线(临平--客运中心),[],[],11.91581,临平,客运中心,地铁,0600,2314
杭州,1,16号线,地铁16号线(九州街--绿汀路),2,8,34.70761,九州街,绿汀路,地铁,0610,2233
杭州,2,16号线,地铁16号线(绿汀路--九州街),2,8,34.70761,绿汀路,九州街,地铁,0620,2233
杭州,1,杭海城际,杭海城际铁路(浙大国际校区--余杭高铁站),2,9,45.72993,浙大国际校区,余杭高铁站,地铁,0630,2230
杭州,2,杭海城际,杭海城际铁路(余杭高铁站--浙大国际校区),2,9,45.72993,余杭高铁站,浙大国际校区,地铁,0630,2230
