城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
武汉,1,1号线,轨道交通1号线(汉口北--径河),2,8,37.77466,汉口北,径河,地铁,[],[]
武汉,2,1号线,轨道交通1号线(径河--汉口北),2,8,37.77466,径河,汉口北,地铁,[],[]
武汉,1,2号线,轨道交通2号线(天河机场--佛祖岭),2,10,60.39911,天河机场,佛祖岭,地铁,[],[]
武汉,2,2号线,轨道交通2号线(佛祖岭--天河机场),2,10,60.39927,佛祖岭,天河机场,地铁,[],[]
武汉,1,3号线,轨道交通3号线(沌阳大道--宏图大道),2,7,29.57446,沌阳大道,宏图大道,地铁,[],[]
武汉,2,3号线,轨道交通3号线(宏图大道--沌阳大道),2,7,29.57490,宏图大道,沌阳大道,地铁,[],[]
武汉,1,4号线,轨道交通4号线(武汉火车站--柏林),2,9,49.66253,武汉火车站,柏林,地铁,[],[]
武汉,2,4号线,轨道交通4号线(柏林--武汉火车站),2,9,49.66253,柏林,武汉火车站,地铁,[],[]
武汉,1,6号线,轨道交通6号线(金银湖公园--东风公司),2,6,35.49935,金银湖公园,东风公司,地铁,[],[]
武汉,2,6号线,轨道交通6号线(东风公司--金银湖公园),2,6,35.49935,东风公司,金银湖公园,地铁,[],[]
武汉,1,7号线,轨道交通7号线(青龙山地铁小镇--园博园北),2,9,46.66007,青龙山地铁小镇,园博园北,地铁,[],[]
武汉,2,7号线,轨道交通7号线(园博园北--青龙山地铁小镇),2,9,46.66007,园博园北,青龙山地铁小镇,地铁,[],[]
武汉,1,8号线,轨道交通8号线(军运村--金潭路),2,8,38.44668,军运村,金潭路,地铁,[],[]
武汉,2,8号线,轨道交通8号线(金潭路--军运村),2,8,38.44668,金潭路,军运村,地铁,[],[]
武汉,1,11号线,轨道交通11号线(葛店南站--武汉东站),2,6,22.55466,葛店南站,武汉东站,地铁,[],[]
武汉,2,11号线,轨道交通11号线(武汉东站--葛店南站),2,6,22.55466,武汉东站,葛店南站,地铁,[],[]
武汉,1,阳逻线,轨道交通21号线(阳逻线)(金台--后湖大道),2,8,34.34781,金台,后湖大道,地铁,[],[]
武汉,2,阳逻线,轨道交通21号线(阳逻线)(后湖大道--金台),2,8,34.34781,后湖大道,金台,地铁,[],[]
