城市,序号,全称,简称,lng,lat
洛阳,1,地铁1号线(杨湾--红山),1号线,112.54691139488989,34.697074639290044
洛阳,2,地铁1号线(杨湾--红山),1号线,112.54599036077505,34.69681109954984
洛阳,3,地铁1号线(杨湾--红山),1号线,112.54546217570953,34.69667119185824
洛阳,4,地铁1号线(杨湾--红山),1号线,112.54467938988417,34.69652676860478
洛阳,5,地铁1号线(杨湾--红山),1号线,112.54420128624089,34.696432893750575
洛阳,6,地铁1号线(杨湾--红山),1号线,112.54140060997909,34.69597751688564
洛阳,7,地铁1号线(杨湾--红山),1号线,112.53672673261245,34.69519996470575
洛阳,8,地铁1号线(杨湾--红山),1号线,112.52747073266775,34.69372799300472
洛阳,9,地铁1号线(杨湾--红山),1号线,112.52644065635387,34.69356051538559
洛阳,10,地铁1号线(杨湾--红山),1号线,112.52540051613857,34.693389987659316
洛阳,11,地铁1号线(杨湾--红山),1号线,112.51252218980424,34.691282737694344
洛阳,12,地铁1号线(杨湾--红山),1号线,112.51156396328214,34.6911261435694
洛阳,13,地铁1号线(杨湾--红山),1号线,112.51060070278055,34.690969521810345
洛阳,14,地铁1号线(杨湾--红山),1号线,112.49864616892134,34.68901317359199
洛阳,15,地铁1号线(杨湾--红山),1号线,112.49772993056133,34.68886157832373
洛阳,16,地铁1号线(杨湾--红山),1号线,112.49648654894503,34.68846822744205
洛阳,17,地铁1号线(杨湾--红山),1号线,112.49436707284764,34.68775354958313
洛阳,18,地铁1号线(杨湾--红山),1号线,112.49417840461368,34.68771202332788
洛阳,19,地铁1号线(杨湾--红山),1号线,112.49383920127057,34.68765506065562
洛阳,20,地铁1号线(杨湾--红山),1号线,112.48748666976563,34.6867589083816
洛阳,21,地铁1号线(杨湾--红山),1号线,112.486694871172,34.68664865501841
洛阳,22,地铁1号线(杨湾--红山),1号线,112.48586494213322,34.68653129878432
洛阳,23,地铁1号线(杨湾--红山),1号线,112.48466270979551,34.68634191175417
洛阳,24,地铁1号线(杨湾--红山),1号线,112.48368828241438,34.686242124433555
洛阳,25,地铁1号线(杨湾--红山),1号线,112.48275802053321,34.68612648979817
洛阳,26,地铁1号线(杨湾--红山),1号线,112.48158190650912,34.686005147085915
洛阳,27,地铁1号线(杨湾--红山),1号线,112.47941437047722,34.685739063460446
洛阳,28,地铁1号线(杨湾--红山),1号线,112.47735426650999,34.68547634164838
洛阳,29,地铁1号线(杨湾--红山),1号线,112.47607889843968,34.685332809678165
洛阳,30,地铁1号线(杨湾--红山),1号线,112.47480656731865,34.6851903088223
洛阳,31,地铁1号线(杨湾--红山),1号线,112.47376303573519,34.68507845137836
洛阳,32,地铁1号线(杨湾--红山),1号线,112.47255598032322,34.68490820621799
洛阳,33,地铁1号线(杨湾--红山),1号线,112.47095665343451,34.68466396242614
洛阳,34,地铁1号线(杨湾--红山),1号线,112.46496922819398,34.6836905704993
洛阳,35,地铁1号线(杨湾--红山),1号线,112.46435528621622,34.683597029806954
洛阳,36,地铁1号线(杨湾--红山),1号线,112.46405634243638,34.6835692662446
洛阳,37,地铁1号线(杨湾--红山),1号线,112.4637353330651,34.68352646070955
洛阳,38,地铁1号线(杨湾--红山),1号线,112.46328693408195,34.68340739459637
洛阳,39,地铁1号线(杨湾--红山),1号线,112.46222866449783,34.68303298423729
洛阳,40,地铁1号线(杨湾--红山),1号线,112.46117744945204,34.6826536240382
洛阳,41,地铁1号线(杨湾--红山),1号线,112.45179432579975,34.67916197962648
洛阳,42,地铁1号线(杨湾--红山),1号线,112.4509380034683,34.67884031880423
洛阳,43,地铁1号线(杨湾--红山),1号线,112.43827911361927,34.674039706627624
洛阳,44,地铁1号线(杨湾--红山),1号线,112.43758862694067,34.67378169152727
洛阳,45,地铁1号线(杨湾--红山),1号线,112.42957401285608,34.67073533250862
洛阳,46,地铁1号线(杨湾--红山),1号线,112.42894591770201,34.670521608035024
洛阳,47,地铁1号线(杨湾--红山),1号线,112.42830181490316,34.670302881768684
洛阳,48,地铁1号线(杨湾--红山),1号线,112.42729413287923,34.66994379585616
洛阳,49,地铁1号线(杨湾--红山),1号线,112.42144340014494,34.66770348682419
洛阳,50,地铁1号线(杨湾--红山),1号线,112.42040403429569,34.6672937091039
洛阳,51,地铁1号线(杨湾--红山),1号线,112.41935471249187,34.666879971900386
洛阳,52,地铁1号线(杨湾--红山),1号线,112.40585495347518,34.66111524885595
洛阳,53,地铁1号线(杨湾--红山),1号线,112.40483245921325,34.66067722451072
洛阳,54,地铁1号线(杨湾--红山),1号线,112.40168428848477,34.65932045040263
洛阳,55,地铁1号线(杨湾--红山),1号线,112.3954825098076,34.656719117907095
洛阳,56,地铁1号线(杨湾--红山),1号线,112.39507752463729,34.656591247868576
洛阳,57,地铁1号线(杨湾--红山),1号线,112.39485953033484,34.65657727151603
