城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
深圳,1,1号线,地铁1号线(罗宝线)(罗湖--机场东),2,9,40.33475,罗湖,机场东,地铁,[],[]
深圳,2,1号线,地铁1号线(罗宝线)(机场东--罗湖),2,9,40.33475,机场东,罗湖,地铁,[],[]
深圳,1,2号线（,地铁2号线(8号线)(盐田路--赤湾),2,9,51.16045,盐田路,赤湾,地铁,[],[]
深圳,2,2号线（,地铁2号线(8号线)(赤湾--盐田路),2,9,51.16047,赤湾,盐田路,地铁,[],[]
深圳,1,3号线,地铁3号线(龙岗线)(福保--双龙),2,8,42.86333,福保,双龙,地铁,0620,2330
深圳,2,3号线,地铁3号线(龙岗线)(双龙--福保),2,8,42.86333,双龙,福保,地铁,0620,2330
深圳,1,4号线,地铁4号线(龙华线)(福田口岸--牛湖),2,7,30.19955,福田口岸,牛湖,地铁,0630,2300
深圳,2,4号线,地铁4号线(龙华线)(牛湖--福田口岸),2,7,30.19955,牛湖,福田口岸,地铁,0630,2300
深圳,1,5号线,地铁5号线(环中线)(赤湾--黄贝岭),2,7,46.61984,赤湾,黄贝岭,地铁,[],[]
深圳,2,5号线,地铁5号线(环中线)(黄贝岭--赤湾),2,7,46.61984,黄贝岭,赤湾,地铁,[],[]
深圳,1,6号线,地铁6号支线(深理工--光明),[],[],5.42755,深理工,光明,地铁,[],[]
深圳,2,6号线,地铁6号支线(光明--深理工),[],[],5.42755,光明,深理工,地铁,[],[]
深圳,1,7号线,地铁7号线(西丽线)(太安--西丽湖),2,7,29.29428,太安,西丽湖,地铁,0620,2300
深圳,2,7号线,地铁7号线(西丽线)(西丽湖--太安),2,7,29.29463,西丽湖,太安,地铁,[],[]
深圳,1,9号线,地铁9号线(梅林线)(前湾--文锦),2,7,35.72842,前湾,文锦,地铁,0620,2330
深圳,2,9号线,地铁9号线(梅林线)(文锦--前湾),2,7,35.72842,文锦,前湾,地铁,0620,2330
深圳,1,10号线,地铁10号线(坂田线)(双拥街--福田口岸),2,7,28.82150,双拥街,福田口岸,地铁,0620,2300
深圳,2,10号线,地铁10号线(坂田线)(福田口岸--双拥街),2,7,28.82150,福田口岸,双拥街,地铁,[],[]
深圳,1,11号线,地铁11号线二期(红岭南--福田),[],[],5.13366,红岭南,福田,地铁,[],[]
深圳,2,11号线,地铁11号线二期(福田--红岭南),[],[],5.13366,福田,红岭南,地铁,[],[]
