城市,序号,全称,简称,lng,lat
石家庄,1,轨道交通1号线(福泽--西王),1号线,114.61529756474282,38.1533970250229
石家庄,2,轨道交通1号线(福泽--西王),1号线,114.6152697113979,38.15235286923459
石家庄,3,轨道交通1号线(福泽--西王),1号线,114.61521065935435,38.14450153578648
石家庄,4,轨道交通1号线(福泽--西王),1号线,114.61521774658901,38.14366537916414
石家庄,5,轨道交通1号线(福泽--西王),1号线,114.61522083892652,38.142820224368705
石家庄,6,轨道交通1号线(福泽--西王),1号线,114.61521707310759,38.14078186023292
石家庄,7,轨道交通1号线(福泽--西王),1号线,114.61519126043969,38.13935762662249
石家庄,8,轨道交通1号线(福泽--西王),1号线,114.61516855190227,38.136983215602605
石家庄,9,轨道交通1号线(福泽--西王),1号线,114.61512977744789,38.135336950863795
石家庄,10,轨道交通1号线(福泽--西王),1号线,114.61506701126895,38.133832733664434
石家庄,11,轨道交通1号线(福泽--西王),1号线,114.61503517014197,38.13271255705905
石家庄,12,轨道交通1号线(福泽--西王),1号线,114.61501428001492,38.131927431558765
石家庄,13,轨道交通1号线(福泽--西王),1号线,114.6149873970639,38.13113230955451
石家庄,14,轨道交通1号线(福泽--西王),1号线,114.6149644472926,38.13089328683044
石家庄,15,轨道交通1号线(福泽--西王),1号线,114.61491353296961,38.13059027848796
石家庄,16,轨道交通1号线(福泽--西王),1号线,114.61483664443679,38.13028929475397
石家庄,17,轨道交通1号线(福泽--西王),1号线,114.61473777199605,38.13003834061766
石家庄,18,轨道交通1号线(福泽--西王),1号线,114.61463889085739,38.129860399698536
石家庄,19,轨道交通1号线(福泽--西王),1号线,114.61455099169915,38.129741459214884
石家庄,20,轨道交通1号线(福泽--西王),1号线,114.61444611120713,38.129602530412825
石家庄,21,轨道交通1号线(福泽--西王),1号线,114.60997759799518,38.124679367410174
石家庄,22,轨道交通1号线(福泽--西王),1号线,114.60985570694275,38.124542433643185
石家庄,23,轨道交通1号线(福泽--西王),1号线,114.60975679658998,38.12441548397975
石家庄,24,轨道交通1号线(福泽--西王),1号线,114.60961092990011,38.12421055417468
石家庄,25,轨道交通1号线(福泽--西王),1号线,114.60947705377822,38.12400061373968
石家庄,26,轨道交通1号线(福泽--西王),1号线,114.60902649579529,38.123012755798776
石家庄,27,轨道交通1号线(福泽--西王),1号线,114.60853295882,38.12201391771397
石家庄,28,轨道交通1号线(福泽--西王),1号线,114.60834913059719,38.12161997134115
石家庄,29,轨道交通1号线(福泽--西王),1号线,114.60830716946123,38.12153098356632
石家庄,30,轨道交通1号线(福泽--西王),1号线,114.60828719138757,38.12145798354627
石家庄,31,轨道交通1号线(福泽--西王),1号线,114.60817333648113,38.1208599484984
石家庄,32,轨道交通1号线(福泽--西王),1号线,114.60804459389522,38.119348748960846
石家庄,33,轨道交通1号线(福泽--西王),1号线,114.60803872189295,38.11824854286457
石家庄,34,轨道交通1号线(福泽--西王),1号线,114.6081357306475,38.117590350532936
石家庄,35,轨道交通1号线(福泽--西王),1号线,114.60831766086034,38.117109132837065
石家庄,36,轨道交通1号线(福泽--西王),1号线,114.60896133522344,38.11598546283793
石家庄,37,轨道交通1号线(福泽--西王),1号线,114.61027955811642,38.114085116666466
石家庄,38,轨道交通1号线(福泽--西王),1号线,114.6125209683771,38.1114827952448
石家庄,39,轨道交通1号线(福泽--西王),1号线,114.6180031041605,38.104814274052224
石家庄,40,轨道交通1号线(福泽--西王),1号线,114.6184376730854,38.104164687433034
石家庄,41,轨道交通1号线(福泽--西王),1号线,114.61922489634166,38.10276156342565
石家庄,42,轨道交通1号线(福泽--西王),1号线,114.62028088708239,38.10021088962352
石家庄,43,轨道交通1号线(福泽--西王),1号线,114.62082242919372,38.09820787806441
石家庄,44,轨道交通1号线(福泽--西王),1号线,114.62135801874226,38.09574177012043
石家庄,45,轨道交通1号线(福泽--西王),1号线,114.62156195031501,38.09399618403138
石家庄,46,轨道交通1号线(福泽--西王),1号线,114.6216219385111,38.09340599582619
石家庄,47,轨道交通1号线(福泽--西王),1号线,114.62168792027603,38.092801797565556
石家庄,48,轨道交通1号线(福泽--西王),1号线,114.62175292459581,38.09200756206535
石家庄,49,轨道交通1号线(福泽--西王),1号线,114.62217453532344,38.081654970802695
石家庄,50,轨道交通1号线(福泽--西王),1号线,114.62221060104707,38.08064672242974
石家庄,51,轨道交通1号线(福泽--西王),1号线,114.62224067617501,38.07962547820968
石家庄,52,轨道交通1号线(福泽--西王),1号线,114.62257244194252,38.068893875245784
石家庄,53,轨道交通1号线(福泽--西王),1号线,114.6225764979639,38.06834875755661
石家庄,54,轨道交通1号线(福泽--西王),1号线,114.62257556330681,38.067780641024044
石家庄,55,轨道交通1号线(福泽--西王),1号线,114.62258058586836,38.06752058111732
石家庄,56,轨道交通1号线(福泽--西王),1号线,114.62259360587804,38.0671874964604
石家庄,57,轨道交通1号线(福泽--西王),1号线,114.62291093495257,38.06045571383352
石家庄,58,轨道交通1号线(福泽--西王),1号线,114.62292094939718,38.06020664973419
石家庄,59,轨道交通1号线(福泽--西王),1号线,114.62292396908231,38.059995602025346
石家庄,60,轨道交通1号线(福泽--西王),1号线,114.62292599170443,38.05977055259142
石家庄,61,轨道交通1号线(福泽--西王),1号线,114.62292606807101,38.05909241086087
石家庄,62,轨道交通1号线(福泽--西王),1号线,114.62292414389027,38.05844327753072
石家庄,63,轨道交通1号线(福泽--西王),1号线,114.62292517384073,38.05816521814944
石家庄,64,轨道交通1号线(福泽--西王),1号线,114.62292920027188,38.057882154079145
