城市,序号,全称,简称,lng,lat
绍兴,1,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.48493584664747,30.084353003246783
绍兴,2,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.48387978774329,30.08481188799212
绍兴,3,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.48057111117569,30.08666619700476
绍兴,4,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47910655258426,30.087353949897878
绍兴,5,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47786687911028,30.087831378472487
绍兴,6,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47733789051023,30.088050860955452
绍兴,7,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47695143436071,30.088286754090163
绍兴,8,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47672056085028,30.088486093252186
绍兴,9,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.4759134911604,30.089466786350876
绍兴,10,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.4750943853169,30.090480455284183
绍兴,11,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47480630010661,30.09078263863888
绍兴,12,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47388686170144,30.09155904377468
绍兴,13,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47280987866014,30.092164026579297
绍兴,14,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.47088281713536,30.093142682492523
绍兴,15,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.46702793519611,30.095067217145424
绍兴,16,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.46481011180371,30.096143345233664
绍兴,17,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.46263556412524,30.097218702399875
绍兴,18,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.46144550553858,30.097600667572564
绍兴,19,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.45907756367677,30.098221742894744
绍兴,20,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.45750037334369,30.098574883819044
绍兴,21,轨道交通1号线(柯桥段)(中国轻纺城--姑娘桥),1号线,120.456429892331,30.09885130493196
