城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
苏州,1,1号线,轨道交通1号线(钟南街--木渎),2,6,25.11037,钟南街,木渎,地铁,[],[]
苏州,2,1号线,轨道交通1号线(木渎--钟南街),2,6,25.11037,木渎,钟南街,地铁,[],[]
苏州,1,2号线,轨道交通2号线(骑河--桑田岛),2,8,42.51738,骑河,桑田岛,地铁,[],[]
苏州,2,2号线,轨道交通2号线(桑田岛--骑河),2,8,42.51738,桑田岛,骑河,地铁,[],[]
苏州,1,3号线,轨道交通3号线(苏州新区火车站--唯亭),2,7,45.14966,苏州新区火车站,唯亭,地铁,[],[]
苏州,2,3号线,轨道交通3号线(唯亭--苏州新区火车站),2,7,45.14966,唯亭,苏州新区火车站,地铁,[],[]
苏州,1,4号线主,轨道交通4号线支线(木里--红庄),2,3,10.15167,木里,红庄,地铁,[],[]
苏州,2,4号线主,轨道交通4号线支线(红庄--木里),2,3,10.15167,红庄,木里,地铁,[],[]
苏州,1,4号线支,轨道交通4号线支线(木里--红庄),2,3,10.15167,木里,红庄,地铁,[],[]
苏州,2,4号线支,轨道交通4号线支线(红庄--木里),2,3,10.15167,红庄,木里,地铁,[],[]
苏州,1,5号线,轨道交通5号线(阳澄湖南--太湖香山),2,8,43.54580,阳澄湖南,太湖香山,地铁,[],[]
苏州,2,5号线,轨道交通5号线(太湖香山--阳澄湖南),2,8,43.54580,太湖香山,阳澄湖南,地铁,[],[]
