城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
西安,1,1号线,地铁1号线(沣河森林公园--纺织城),2,7,30.70046,沣河森林公园,纺织城,地铁,0600,2320
西安,2,1号线,地铁1号线(纺织城--沣河森林公园),2,7,30.70045,纺织城,沣河森林公园,地铁,0600,2330
西安,1,2号线,地铁2号线(韦曲南--北客站),2,7,26.11509,韦曲南,北客站,地铁,0600,2350
西安,2,2号线,地铁2号线(北客站--韦曲南),2,7,26.11509,北客站,韦曲南,地铁,0600,2350
西安,1,3号线,地铁3号线(保税区--鱼化寨),2,8,38.10511,保税区,鱼化寨,地铁,[],[]
西安,2,3号线,地铁3号线(鱼化寨--保税区),2,8,38.10511,鱼化寨,保税区,地铁,[],[]
西安,1,4号线,地铁4号线(航天新城--北客站(北广场)),2,7,34.65475,航天新城,北客站(北广场),地铁,0600,2300
西安,2,4号线,地铁4号线(北客站(北广场)--航天新城),2,7,34.65475,北客站(北广场),航天新城,地铁,0600,2300
西安,1,5号线,地铁5号线(西安东站--创新港),2,9,44.89453,西安东站,创新港,地铁,0600,2315
西安,2,5号线,地铁5号线(创新港--西安东站),2,9,44.89453,创新港,西安东站,地铁,0600,2315
西安,1,6号线,地铁6号线(西安国际医学中心--西北工业大学),2,5,15.19576,西安国际医学中心,西北工业大学,地铁,0600,2300
西安,2,6号线,地铁6号线(西北工业大学--西安国际医学中心),2,5,15.19576,西北工业大学,西安国际医学中心,地铁,0615,2315
西安,1,9号线,地铁9号线(秦陵西--纺织城),2,6,24.38933,秦陵西,纺织城,地铁,0630,2230
西安,2,9号线,地铁9号线(纺织城--秦陵西),2,6,24.38933,纺织城,秦陵西,地铁,0630,2200
西安,1,14号线,地铁14号线(贺韶--机场西(T1/T2/T3)),2,9,41.48533,贺韶,机场西(T1/T2/T3),地铁,0600,2230
西安,2,14号线,地铁14号线(机场西(T1/T2/T3)--贺韶),2,9,41.48533,机场西(T1/T2/T3),贺韶,地铁,0600,2220
