城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
郑州,1,1号线,地铁1号线(河南工业大学--河南大学新区),2,7,40.32790,河南工业大学,河南大学新区,地铁,[],[]
郑州,2,1号线,地铁1号线(河南大学新区--河南工业大学),2,7,40.32790,河南大学新区,河南工业大学,地铁,[],[]
郑州,1,2号线,地铁2号线(南四环--贾河),2,6,30.41505,南四环,贾河,地铁,0600,2300
郑州,2,2号线,地铁2号线(贾河--南四环),2,6,30.41505,贾河,南四环,地铁,0600,2300
郑州,1,3号线,地铁3号线(营岗--省体育中心),2,5,24.72604,营岗,省体育中心,地铁,0600,2300
郑州,2,3号线,地铁3号线(省体育中心--营岗),2,5,24.72604,省体育中心,营岗,地铁,0600,2315
郑州,1,4号线,地铁4号线(郎庄--老鸦陈),2,5,28.89995,郎庄,老鸦陈,地铁,[],[]
郑州,2,4号线,地铁4号线(老鸦陈--郎庄),2,5,28.89995,老鸦陈,郎庄,地铁,[],[]
郑州,1,5号线（,地铁5号线内环(月季公园--月季公园),2,4,40.44911,月季公园,月季公园,地铁,0600,2330
郑州,1,5号线（,地铁5号线外环(月季公园--月季公园),2,4,40.44911,月季公园,月季公园,地铁,0600,2300
郑州,1,14号线,地铁14号线(须水--莲湖),2,2,7.46858,须水,莲湖,地铁,0800,2000
郑州,2,14号线,地铁14号线(莲湖--须水),2,2,7.46858,莲湖,须水,地铁,0800,2000
郑州,1,城郊线,城郊线(新郑机场--南四环),2,6,33.24931,新郑机场,南四环,地铁,0600,2200
郑州,2,城郊线,城郊线(南四环--新郑机场),2,6,33.24931,南四环,新郑机场,地铁,0600,2200
