城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
重庆,1,1号线,轨道交通1号线(朝天门--璧山),2,7,44.15442,朝天门,璧山,地铁,[],[]
重庆,2,1号线,轨道交通1号线(璧山--朝天门),2,7,44.15442,璧山,朝天门,地铁,[],[]
重庆,1,2号线,轨道交通2号线(鱼洞--较场口),2,6,30.18191,鱼洞,较场口,地铁,[],[]
重庆,2,2号线,轨道交通2号线(较场口--鱼洞),2,6,30.18191,较场口,鱼洞,地铁,[],[]
重庆,1,3号线北,轨道交通3号线北延伸段(空港线)(举人坝--碧津),2,3,10.43721,举人坝,碧津,地铁,[],[]
重庆,2,3号线北,轨道交通3号线北延伸段(空港线)(碧津--举人坝),2,3,10.43721,碧津,举人坝,地铁,[],[]
重庆,1,3号线,轨道交通3号线(鱼洞--江北机场T2航站楼),2,7,54.03387,鱼洞,江北机场T2航站楼,地铁,0630,2230
重庆,2,3号线,轨道交通3号线(江北机场T2航站楼--鱼洞),2,7,54.03404,江北机场T2航站楼,鱼洞,地铁,0630,2230
重庆,1,4号线,轨道交通4号线(民安大道--唐家沱),2,4,15.41059,民安大道,唐家沱,地铁,0630,2230
重庆,2,4号线,轨道交通4号线(唐家沱--民安大道),2,4,15.41059,唐家沱,民安大道,地铁,0630,2230
重庆,1,5号线北,轨道交通5号线北延伸段(悦港北路--园博中心),[],[],9.17886,悦港北路,园博中心,地铁,[],[]
重庆,2,5号线北,轨道交通5号线北延伸段(园博中心--悦港北路),[],[],9.17886,园博中心,悦港北路,地铁,[],[]
重庆,1,5号线南,轨道交通5号线(石桥铺--跳磴),2,5,18.07491,石桥铺,跳磴,地铁,[],[]
重庆,2,5号线南,轨道交通5号线(跳磴--石桥铺),2,5,18.07491,跳磴,石桥铺,地铁,[],[]
重庆,1,6号线支,轨道交通6号线支线(国博线)(沙河坝--礼嘉),2,6,25.88982,沙河坝,礼嘉,地铁,0630,2230
重庆,2,6号线支,轨道交通6号线支线(国博线)(礼嘉--沙河坝),2,6,25.88982,礼嘉,沙河坝,地铁,0630,2230
重庆,1,6号线,轨道交通6号线(北碚--茶园),2,7,59.74910,北碚,茶园,地铁,[],[]
重庆,2,6号线,轨道交通6号线(茶园--北碚),2,7,59.74895,茶园,北碚,地铁,[],[]
重庆,1,10号线,轨道交通10号线(鲤鱼池--王家庄),2,6,33.78346,鲤鱼池,王家庄,地铁,[],[]
重庆,2,10号线,轨道交通10号线(王家庄--鲤鱼池),2,6,33.78346,王家庄,鲤鱼池,地铁,[],[]
重庆,1,轨道交通,轨道交通环线内环(重庆图书馆--重庆图书馆),2,6,51.74387,重庆图书馆,重庆图书馆,地铁,0635,2230
重庆,1,轨道交通,轨道交通环线外环(二郎--二郎),2,6,51.74387,二郎,二郎,地铁,0631,2230
