城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
长春,1,1号线,轨道交通1号线(红嘴子--北环城路),2,4,17.47551,红嘴子,北环城路,地铁,[],[]
长春,2,1号线,轨道交通1号线(北环城路--红嘴子),2,4,17.47551,北环城路,红嘴子,地铁,[],[]
长春,1,2号线,轨道交通2号线(东方广场--双丰),2,5,20.08432,东方广场,双丰,地铁,0555,2130
长春,2,2号线,轨道交通2号线(双丰--东方广场),2,5,20.08432,双丰,东方广场,地铁,0515,2130
长春,1,3号线,轨道交通3号线(长影世纪城--长春站),2,6,31.10453,长影世纪城,长春站,地铁,0600,2000
长春,2,3号线,轨道交通3号线(长春站--长影世纪城),2,6,31.10462,长春站,长影世纪城,地铁,[],[]
长春,1,4号线,轨道交通4号线(天工路--长春站北),2,4,15.28413,天工路,长春站北,地铁,0600,2100
长春,2,4号线,轨道交通4号线(长春站北--天工路),2,4,15.28413,长春站北,天工路,地铁,0600,2100
长春,1,8号线,轨道交通8号线(广通路--北环城路),2,4,13.06692,广通路,北环城路,地铁,0600,2100
长春,2,8号线,轨道交通8号线(北环城路--广通路),2,4,13.06692,北环城路,广通路,地铁,0600,2100
