城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
长沙,1,1号线,地铁1号线(尚双塘--开福区政府),2,6,23.20655,尚双塘,开福区政府,地铁,0630,2300
长沙,2,1号线,地铁1号线(开福区政府--尚双塘),2,6,23.20655,开福区政府,尚双塘,地铁,0630,2300
长沙,1,2号线,地铁2号线(光达--梅溪湖西),2,6,25.77394,光达,梅溪湖西,地铁,0630,2300
长沙,2,2号线,地铁2号线(梅溪湖西--光达),2,6,25.77348,梅溪湖西,光达,地铁,0630,2300
长沙,1,3号线,地铁3号线(广生--山塘),2,7,35.91933,广生,山塘,地铁,0630,2300
长沙,2,3号线,地铁3号线(山塘--广生),2,7,35.91933,山塘,广生,地铁,0630,2300
长沙,1,4号线,地铁4号线(杜家坪--罐子岭),2,7,33.38367,杜家坪,罐子岭,地铁,0630,2300
长沙,2,4号线,地铁4号线(罐子岭--杜家坪),2,7,33.38367,罐子岭,杜家坪,地铁,0630,2300
长沙,1,5号线,地铁5号线(毛竹塘--水渡河),2,5,21.79030,毛竹塘,水渡河,地铁,0630,2300
长沙,2,5号线,地铁5号线(水渡河--毛竹塘),2,5,21.79030,水渡河,毛竹塘,地铁,0630,2300
长沙,1,磁浮快线,磁浮快线(磁浮机场站--磁浮高铁站),10,20,18.40754,磁浮机场站,磁浮高铁站,磁悬浮列车,0700,2230
长沙,2,磁浮快线,磁浮快线(磁浮高铁站--磁浮机场站),10,20,18.40754,磁浮高铁站,磁浮机场站,磁悬浮列车,0700,2200
长沙,1,6号线,地铁6号线(黄花机场西--谢家桥),[],[],48.14285,黄花机场西,谢家桥,地铁,[],[]
长沙,2,6号线,地铁6号线(谢家桥--黄花机场西),[],[],48.14285,谢家桥,黄花机场西,地铁,[],[]
