城市,正反线路,简称,全称,上车票价,全程票价,距离,起点站,终点站,线路类型,首班时间,末班时间
青岛,1,1号线,地铁1号线(青岛北站--东郭庄),2,5,21.28511,青岛北站,东郭庄,地铁,[],[]
青岛,2,1号线,地铁1号线(东郭庄--青岛北站),2,5,21.28511,东郭庄,青岛北站,地铁,[],[]
青岛,1,2号线,地铁2号线(泰山路--李村公园),2,5,24.28169,泰山路,李村公园,地铁,0615,2305
青岛,2,2号线,地铁2号线(李村公园--泰山路),2,5,24.28170,李村公园,泰山路,地铁,0604,2255
青岛,1,3号线,地铁3号线(青岛站--青岛北站),2,5,24.35956,青岛站,青岛北站,地铁,0615,2310
青岛,2,3号线,地铁3号线(青岛北站--青岛站),2,5,24.35910,青岛北站,青岛站,地铁,0600,2300
青岛,1,8号线,地铁8号线(青岛北站--胶州北站),2,7,46.65982,青岛北站,胶州北站,地铁,[],[]
青岛,2,8号线,地铁8号线(胶州北站--青岛北站),2,7,46.65982,胶州北站,青岛北站,地铁,[],[]
青岛,1,11号线,地铁11号线(钱谷山--苗岭路),2,7,54.37903,钱谷山,苗岭路,地铁,0615,2130
青岛,2,11号线,地铁11号线(苗岭路--钱谷山),2,7,54.37903,苗岭路,钱谷山,地铁,0630,2230
青岛,1,13号线,地铁13号线(董家口火车站--井冈山路),2,8,66.74944,董家口火车站,井冈山路,地铁,0615,2135
青岛,2,13号线,地铁13号线(井冈山路--董家口火车站),2,8,66.74944,井冈山路,董家口火车站,地铁,0615,2205
