froms,tos,va,from,to,fromsdic,fromscity,fromspro,tospro,todic,toscity
0,96,2,呼和浩特,阿拉善盟,中部,其他区域,内蒙古自治区,中部,其他区域,内蒙古自治区
1,96,1,乌兰察布,阿拉善盟,中部,其他区域,内蒙古自治区,中部,其他区域,内蒙古自治区
2,81,9,北京,白银,东部,京津冀城市群,北京市,西部,其他区域,甘肃省
3,81,1,杭州,白银,东部,长三角城市群,浙江省,西部,其他区域,甘肃省
4,81,1,克拉玛依,白银,西部,其他区域,新疆维吾尔自治区,西部,其他区域,甘肃省
5,81,1,昆明,白银,西部,其他区域,云南省,西部,其他区域,甘肃省
6,81,2,兰州,白银,西部,其他区域,甘肃省,西部,其他区域,甘肃省
7,81,1,上海,白银,东部,长三角城市群,上海市,西部,其他区域,甘肃省
2,97,7,北京,包头,东部,京津冀城市群,北京市,中部,其他区域,内蒙古自治区
8,97,1,湖州,包头,东部,长三角城市群,浙江省,中部,其他区域,内蒙古自治区
5,97,1,昆明,包头,西部,其他区域,云南省,中部,其他区域,内蒙古自治区
6,97,1,兰州,包头,西部,其他区域,甘肃省,中部,其他区域,内蒙古自治区
7,97,1,上海,包头,东部,长三角城市群,上海市,中部,其他区域,内蒙古自治区
9,97,1,太原,包头,中部,其他区域,山西省,中部,其他区域,内蒙古自治区
10,97,1,西宁,包头,西部,其他区域,青海省,中部,其他区域,内蒙古自治区
11,97,1,银川,包头,西部,其他区域,宁夏回族自治区,中部,其他区域,内蒙古自治区
12,2,5,成都,北京,西部,成渝城市群,四川省,东部,京津冀城市群,北京市
13,2,2,贵阳,北京,西部,其他区域,贵州省,东部,京津冀城市群,北京市
14,2,1,吉林,北京,中部,东北地区,吉林省,东部,京津冀城市群,北京市
15,2,1,焦作,北京,中部,中原城市群,河南省,东部,京津冀城市群,北京市
16,2,1,荆州,北京,中部,长江中游城市群,湖北省,东部,京津冀城市群,北京市
4,2,1,克拉玛依,北京,西部,其他区域,新疆维吾尔自治区,东部,京津冀城市群,北京市
17,2,1,辽源,北京,中部,东北地区,吉林省,东部,京津冀城市群,北京市
18,2,2,南京,北京,东部,长三角城市群,江苏省,东部,京津冀城市群,北京市
19,2,1,宁波,北京,东部,长三角城市群,浙江省,东部,京津冀城市群,北京市
