ID	plate
0	‘¡BV8556
1	‘¡BX3957
2	‘¡BBH577
3	‘¡BQ9765
4	‘¡BCF128
5	‘¡BC6839
6	‘¡BAE975
7	‘¡BZ4615
8	‘¡BAJ803
9	‘¡BS6830
10	‘¡BX1170
11	‘¡BY8018
12	‘¡BG9537
13	‘¡BJ5845
14	‘¡BT4190
15	‘¡BM2459
16	‘¡BAB903
17	‘¡BAE862
18	‘¡BBT882
19	‘¡BM9230
20	‘¡BBY868
21	‘¡BBJ906
22	‘¡BAU698
23	‘¡BU7899
24	‘¡BBD678
25	‘¡BZ4212
26	‘¡BV0510
27	‘¡BBV858
28	‘¡BF7882
29	‘¡BBH170
30	‘¡BBP677
31	‘¡BBC719
32	‘¡BY4200
33	‘¡BZ3373
34	‘¡BBM921
35	‘¡BW6158
36	‘¡BBW716
37	‘¡BX5729
38	‘¡BX4867
39	‘¡BAW613
40	‘¡BZ4305
41	‘¡BBT429
42	‘¡BAY087
43	‘¡BBL778
44	‘¡BBG111
45	‘¡BY4741
46	‘¡BBP336
47	‘¡BBW601
48	‘¡BBP760
49	‘¡BBY839
50	‘¡BW1578
51	‘¡BF4311
52	‘¡BY5457
53	‘¡BAY889
54	‘¡BBE883
55	‘¡BS4848
56	‘¡BV8848
57	‘¡BBN646
58	‘¡BW5693
59	‘¡BAD389
60	‘¡BBF651
61	‘¡BZ0842
62	‘¡BY9709
63	‘¡BW0238
64	‘¡BAN712
65	‘¡BAY535
66	‘¡BCF926
67	‘¡BM0470
68	‘¡BV9216
69	‘¡BG8736
70	‘¡BX7646
71	‘¡BAV015
72	‘¡BZ3380
73	‘¡BT9863
74	‘¡BBQ530
75	‘¡BZ5155
76	‘¡BBF341
77	‘¡BBF717
78	‘¡BR0476
79	‘¡BBJ449
80	‘¡BH8739
81	‘¡BY5406
82	‘¡BP6997
83	‘¡BY2567
84	‘¡BBF256
85	‘¡BBF600
86	‘¡BX8271
87	‘¡BBN241
88	‘¡BBY430
89	‘¡BH3047
90	‘¡BG9595
91	‘¡BAH596
92	‘¡BH6950
93	‘¡BW7618
94	‘¡BK1823
95	‘¡BCH319
96	‘¡BW3551
97	‘¡BBJ418
98	‘¡BBY576
99	‘¡BBA627
100	‘¡BAF302
101	‘¡BY7826
102	‘¡BE6750
103	‘¡BAJ426
104	‘¡BAH940
105	‘¡BY5996
106	‘¡BAB431
107	‘¡BAM111
108	‘¡BZ0583
109	‘¡BAN339
110	‘¡BAC785
111	‘¡BK9047
112	‘¡BBD253
113	‘¡BZ9285
114	‘¡BBT543
115	‘¡BBT115
116	‘¡BW6989
117	‘¡BV3745
118	‘¡BBZ781
119	‘¡BAE959
120	‘¡BBC332
121	‘¡BAL600
122	‘¡BBS422
123	‘¡BR5053
124	‘¡BAS430
125	‘¡BAZ221
126	‘¡BAH857
127	‘¡BY8491
128	‘¡BBG933
129	‘¡BAB526
130	‘¡BBJ523
131	‘¡BBZ233
132	‘¡BJ0867
133	‘¡BBJ175
134	‘¡BBS190
135	‘¡BZ6641
136	‘¡BX4152
137	‘¡BAJ531
138	‘¡BK2739
139	‘¡BU5495
140	‘¡BN1219
141	‘¡BY5872
142	‘¡BX3496
143	‘¡BZ4378
144	‘¡BAK220
145	‘¡BZ8470
146	‘¡BZ1385
147	‘¡BBS163
148	‘¡BAD700
149	‘¡BAX718
150	‘¡BZ7506
151	‘¡BAL341
152	‘¡BBR681
153	‘¡BU8029
154	‘¡BBK232
155	‘¡BZ1695
156	‘¡BBT512
157	‘¡BT4856
158	‘¡BAV866
159	‘¡BBN389
160	‘¡BAB869
161	‘¡BN2177
162	‘¡BK3931
163	‘¡BK6160
164	‘¡BBS889
165	‘¡BAL651
166	‘¡BV5197
167	‘¡BY8065
168	‘¡BY8433
169	‘¡BP1085
170	‘¡BBV599
171	‘¡BT9551
172	‘¡BZ8421
173	‘¡BW6435
174	‘¡BBQ802
175	‘¡BZ5831
176	‘¡BAL310
177	‘¡BBM045
178	‘¡BX2780
179	‘¡BBG598
180	‘¡BAV578
181	‘¡BAV982
182	‘¡BBJ572
183	‘¡BBR275
184	‘¡BAN629
185	‘¡BBR623
186	‘¡BAM401
187	‘¡BAS585
188	‘¡BU2100
189	‘¡BAQ419
190	‘¡BU2441
191	‘¡BAZ731
192	‘¡BAF729
193	‘¡BAZ367
194	‘¡BF9665
195	‘¡BBE513
196	‘¡BBE145
197	‘¡BAN368
198	‘¡BAK395
199	‘¡BZ0928
200	‘¡BAV895
201	‘¡BBZ723
202	‘¡BBZ375
203	‘¡BW8345
204	‘¡BBK387
205	‘¡BW0352
206	‘¡BAY080
207	‘¡BBE826
208	‘¡BY4746
209	‘¡BBH436
210	‘¡BBC609
211	‘¡BX8285
212	‘¡BBX770
213	‘¡BU8053
214	‘¡BW7296
215	‘¡BBT112
216	‘¡BZ5970
217	‘¡BH7290
218	‘¡BK3967
219	‘¡BZ0121
220	‘¡BAL251
221	‘¡BAL607
222	‘¡BZ0577
223	‘¡BY5962
224	‘¡BL7753
225	‘¡BAK766
226	‘¡BBD229
227	‘¡BX1031
228	‘¡BV8500
229	‘¡BCC183
230	‘¡BBH177
231	‘¡BBT539
232	‘¡BW6509
233	‘¡BG5728
234	‘¡BBP226
235	‘¡BBE931
236	‘¡BBP670
237	‘¡BY4207
238	‘¡BM6651
239	‘¡BBS458
240	‘¡BAM198
241	‘¡BAF615
242	‘¡BH5295
243	‘¡BBG949
244	‘¡BAN602
245	‘¡BBT827
246	‘¡BAV553
247	‘¡BY3282
248	‘¡BBN246
249	‘¡BW5293
250	‘¡BBH093
251	‘¡BBQ420
252	‘¡BBY061
253	‘¡BBR608
254	‘¡BBJ559
255	‘¡BBD278
256	‘¡BS0618
257	‘¡BBT992
258	‘¡BBT568
259	‘¡BBL639
260	‘¡BZ4612
261	‘¡BBH570
262	‘¡BK0799
263	‘¡BW5770
264	‘¡BAE972
265	‘¡BBJ816
266	‘¡BBX636
267	‘¡BBX260
268	‘¡BS3430
269	‘¡BF5948
270	‘¡BZ2159
271	‘¡BBM013
272	‘¡BBU342
273	‘¡BW3897
274	‘¡BP6517
275	‘¡B78619
276	‘¡BZ0493
277	‘¡BBJ172
278	‘¡BBS197
279	‘¡BAZ226
280	‘¡BC2213
281	‘¡BX7641
