ox,oy,dx,dy
114.0633083,22.66127803,114.0562345,22.654095
114.0688692,22.66239231,114.0774461,22.64716525
114.0729154,22.6563143,114.060562,22.659897
114.0735633,22.66307941,114.0667908,22.66063069
114.1013075,22.68933962,114.1067602,22.69511999
114.1061427,22.59993789,114.1137449,22.59996776
114.1074164,22.60154913,114.1125809,22.607882
114.107911,22.602724,114.1118681,22.60670489
114.1092062,22.598566,114.1116599,22.60952638
114.1104782,22.7069752,114.13056,22.70025307
114.1109434,22.62155453,114.1103718,22.6284469
114.1119059,22.61332275,114.1195023,22.60466707
114.1124242,22.60862653,114.1076039,22.59759448
114.112684,22.703819,114.1090201,22.69889391
114.1131278,22.60983286,114.1258493,22.6110878
114.1132911,22.70961212,114.120945,22.704083
114.1132941,22.61304165,114.1130693,22.60283652
114.116443,22.68546608,114.1221581,22.68382109
114.1169863,22.70956773,114.1130207,22.68705113
114.1179341,22.62495122,114.1146233,22.61160724
114.1190826,22.59814787,114.1326055,22.61602053
114.1207054,22.60712904,114.2217701,22.64049643
114.122006,22.59452986,114.1218318,22.60340306
114.122104,22.60238991,114.1178986,22.60477642
114.1270486,22.61349574,114.1109657,22.6122207
114.1272551,22.69674787,114.1187588,22.69182582
114.1314257,22.61066078,114.121168,22.614527
114.1323025,22.62957423,114.1446008,22.62791137
114.1358221,22.62504774,114.1597635,22.60772271
114.1374123,22.69930408,114.126681,22.69764849
114.1405181,22.62236692,114.149115,22.626309
114.142529,22.62242726,114.1429282,22.61449847
114.147092,22.627123,114.1155026,22.60258311
114.1503594,22.62343568,114.115272,22.603184
114.1696788,22.63701925,114.1408671,22.62238576
114.177305,22.649449,114.1766629,22.63741114
114.1811134,22.63466205,114.1839865,22.63931817
114.1819067,22.6611459,114.2035329,22.65127572
114.1823987,22.6276857,114.1799212,22.63832636
114.1842799,22.6411168,114.1925287,22.64996786
114.1845784,22.63319473,114.181296,22.632386
114.1846833,22.6287004,114.187134,22.64458928
114.1869087,22.64259621,114.2221522,22.70423156
114.1885245,22.64341995,114.1989626,22.64709813
114.1926272,22.64423473,114.2075167,22.6572317
114.1931679,22.64911296,114.2216528,22.64529725
114.1959169,22.65120826,114.2038478,22.65099764
114.1970855,22.65160695,114.176324,22.63708
114.199648,22.6495312,114.1963612,22.65550643
114.2007516,22.65115401,114.1836239,22.64032177
114.2040042,22.70730256,114.2168338,22.69074939
114.2048802,22.65183071,114.219359,22.637907
114.2058408,22.71454788,114.2383375,22.71165596
114.2071139,22.70049651,114.2046108,22.71614941
114.2076248,22.71289032,114.2169767,22.70754447
114.2115148,22.72922182,114.2094389,22.71247934
114.2126633,22.72494049,114.2070441,22.70043096
114.2131857,22.72577797,114.2035366,22.71270579
114.2136144,22.72494518,114.2235017,22.68950788
114.2145245,22.70064013,114.222995,22.679802
114.215387,22.70559175,114.2199832,22.69465986
114.2213776,22.70487898,114.2106721,22.7273829
114.2221659,22.6787228,114.2180542,22.66745808
114.2240538,22.73308001,114.2457432,22.73039619
114.2241043,22.72914753,114.248068,22.73115803
114.2274735,22.69779667,114.215855,22.690951
114.227902,22.751089,114.2300136,22.74434747
114.2294207,22.69993277,114.2152717,22.69836507
114.2297057,22.72209567,114.2160315,22.7028718
114.2301816,22.6504648,114.2195175,22.64509638
114.2315675,22.72235956,114.2240965,22.72378993
114.2328036,22.7283589,114.2356758,22.7226816
114.2329995,22.73360442,114.231812,22.725269
114.2334736,22.72352493,114.2244069,22.72516611
114.2368102,22.71669791,114.2345851,22.70765594
114.2372311,22.71100695,114.2365445,22.71694659
114.2375792,22.71234126,114.2334415,22.72487705
114.2378794,22.66722505,114.2241543,22.67939939
114.2405645,22.72062385,114.239653,22.712334
114.24089,22.71347175,114.2882847,22.72468073
114.2414752,22.72571535,114.2287067,22.72611556
114.2420838,22.72115675,114.2383595,22.71163647
114.2421777,22.72124256,114.2516724,22.71801081
114.2425049,22.72657929,114.2131952,22.72486964
114.2433947,22.75676576,114.2908493,22.73192654
114.244769,22.72851608,114.2270691,22.70456441
114.2458739,22.69891678,114.2393076,22.7120168
114.2462374,22.74957739,114.2366454,22.76310691
114.2463438,22.72853291,114.2590918,22.71382783
114.2468485,22.72853484,114.2703707,22.73462858
114.2469454,22.72853521,114.2490225,22.71950871
114.247175,22.73117502,114.2485471,22.72254476
114.2474264,22.73024132,114.2603129,22.72669179
114.2475379,22.72420922,114.2652195,22.70532603
114.2475382,22.72418677,114.2622692,22.7236539
114.247746,22.71867251,114.2470225,22.72741565
114.2480809,22.71674203,114.2626124,22.73059412
114.2486207,22.73113125,114.24905,22.719517
114.2494162,22.72247438,114.2656162,22.72556927
